causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Neonatal conditions,"2,250,722","1,243,474","1,007,247","1,141,734","101,554",46,52,36,16,20,16,"926,539","80,549",36,31,24,20,17,32
Preterm birth complications,"1,022,484","562,406","460,078",513004,"49,389",8,5,0,0,0,0,420302,"39,766",4,5,0,0,0,2
Birth asphyxia and birth trauma,712893,394911,317981,359063,35776,16,25,18,6,4,3,288988,28926,15,19,11,13,5,4
Neonatal sepsis and infections,367389,203107,164282,202755,250,22,22,18,10,16,13,164001,200,16,7,13,7,12,25
Other neonatal conditions,"147,956","83,051","64,905",66912,16139,0,0,0,0,0,0,53248,11657,0,0,0,0,0,0
Nutritional deficiencies,"272,272","127,604","144,667",0,"50,545",5526,2775,"6,311","6,595","10,491","45,360",0,"44,473","7,569","3,676","7,262","6,671","10,950","64,067"
Protein-energy malnutrition,"211,857","103,133","108,724",0,48920,4945,"2,023","4,700","4,501","7,103","30,942",0,42597,6461,"1,902","4,247","3,712","6,815","42,990"
Iodine deficiency,35,6,29,0,0,0,0,1,0,0,5,0,0,0,1,2,1,5,20
Vitamin A deficiency,7,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2
Iron-deficiency anaemia,"19,096","7,928","11,168",0,0,44,163,469,549,950,"5,754",0,0,52,185,421,446,746,"9,318"
Other nutritional deficiencies,"41,277","16,535","24,742",0,1625,537,590,"1,141","1,545","2,439","8,658",0,1876,1056,1587,"2,592","2,512","3,382","11,737"
Noncommunicable diseases,"37,945,271","20,230,670","17,714,601",167491,226936,99894,"311,877","1,816,439","2,777,707","4,375,618","10,454,708",135574,192055,90981,"212,247","1,158,311","1,747,203","2,864,659","11,313,569"
Malignant neoplasms,"8,590,892","4,860,690","3,730,202",257,15139,23669,"68,146","461,113","807,775","1,301,709","2,182,880",231,12433,18812,"58,972","473,855","637,138","851,189","1,677,570"
Mouth and oropharynx cancers,"353,927","252,588","101,339",0,0,399,"3,434","43,977","67,469","72,288","65,021",0,0,299,"2,054","15,944","22,434","25,033","35,576"
Lip and oral cavity,"174,416","116,727","57,689",0,0,130,"1,650","20,171","30,148","32,180","32,449",0,0,121,952,"8,072","11,781","13,902","22,861"
Nasopharynx,"69,772","51,181","18,591",0,0,252,1311,"12,380","14,121","13,502","9,615",0,0,159,711,"4,372","4,481","4,382","4,486"
Other pharynx,"109,738","84,680","25,059",0,0,18,472,"11,426","23,199","26,606","22,957",0,0,19,391,"3,499","6,171","6,749","8,229"
Oesophagus cancer,"425,312","312,273","113,039",0,0,1,532,"26,862","62,314","99,771","122,793",0,0,16,510,"8,284","16,832","28,634","58,762"
Stomach cancer,"804,068","522,442","281,625",0,0,36,2784,"48,001","89,056","150,438","232,127",0,0,44,2858,"29,568","40,560","63,770","144,825"
Colon and rectum cancers,"834,482","459,137","375,345",0,0,168,"3,417","41,119","68,555","116,211","229,668",0,0,180,"2,403","29,392","48,186","76,660","218,523"
Liver cancer,"536,696","368,878","167,818",26,814,639,3831,"61,756","82,142","99,436","120,235",36,858,474,1606,"16,093","26,631","40,835","81,285"
Liver cancer secondary to hepatitis B,"205,552","166,528","39,024",0,0,151,2892,"43,572","43,754","42,115","34,044",0,0,61,782,"7,371","8,583","10,260","11,968"
Liver cancer secondary to hepatitis C,"160,088","86,149","73,939",0,0,2,99,"5,366","14,992","23,416","42,273",0,0,3,78,"3,397","9,343","16,920","44,199"
Liver cancer secondary to alcohol use,"105,078","83,069","22,009",0,0,0,199,8046,"16,861","25,785","32,178",0,0,0,57,"1,752","3,620","6,342","10,238"
Other liver cancer,"65,978",33132,"32,846",26,814,486,641,4771,6535,8120,11740,36,858,411,689,"3,573","5,086","7,314","14,879"
Pancreas cancer,"394,836",211296,"183,540",0,0,10,569,16243,36169,61728,96577,0,0,5,341,"8,307","21,942","43,641","109,304"
"Trachea, bronchus, lung cancers","1,637,950",1130277,"507,673",0,0,208,2757,62842,186322,351790,526358,0,0,114,"1,587","31,026","75,384","134,806","264,756"
Melanoma and other skin cancers,"120,624","68,785",51839,0,20,62,751,"6,981","10,178","15,623","35,170",0,18,81,615,5300,7088,9933,28805
Malignant skin melanoma,"59,863","33,784",26079,0,20,36,450,"4,243",5600,7781,"15,655",0,18,37,388,3317,3915,5322,13082
Non-melanoma skin cancer,"60,761","35,001","25,760",0,0,26,301,"2,739","4,578","7,842","19,515",0,0,45,227,"1,983","3,173","4,611","15,722"
Breast cancer,"591,091","6,575","584,516",0,0,0,50,657,"1,333","1,997","2,538",0,0,17,5538,"119,801","132,865","128,130","198,165"
Cervix uteri cancer,"288,752",0,"288,752",0,0,0,0,0,0,0,0,0,0,28,"4,759","78,388","78,361","65,475","61,740"
Corpus uteri cancer,"83,581",0,"83,581",0,0,0,0,0,0,0,0,0,0,17,293,"6,088","13,432","23,969","39,781"
Ovary cancer,"160,450",0,"160,450",0,0,0,0,0,0,0,0,0,0,332,2381,"23,376","35,821","41,640","56,901"
Prostate cancer,"350,893","350,893",0,0,0,4,258,"2,389","13,765","60,183","274,294",0,0,0,0,0,0,0,0
Testicular cancer,"9,172","9,172",0,2,107,102,2377,"3,513",969,844,"1,258",0,0,0,0,0,0,0,0
Kidney cancer,"142,659","91,804","50,855",10,620,442,676,"7,891","16,007","24,127","42,029",8,569,499,607,"3,566","5,884","10,690","29,031"
Bladder cancer,"184,680","136,754","47,926",0,0,46,230,"4,508","12,694","29,581","89,696",0,0,13,129,"2,091","4,114","8,068","33,511"
Brain and nervous system cancers,"227,210","127,208","100,002",73,3511,"4,821","6,904","25,301","25,080","29,718","31,799",38,2652,4061,"4,909","16,567","17,650","22,556","31,568"
Gallbladder and biliary tract cancer,"148,613","63,621","84,993",0,0,4,160,"4,321","9,294","16,078","33,764",0,0,10,245,"5,422","12,348","19,626","47,342"
Larynx cancer,"105,762","90,242","15,520",0,0,11,202,"8,061","21,903","29,078","30,987",0,0,4,172,"1,538","3,240","4,474","6,092"
Thyroid cancer,"38,038","14,852","23,186",0,0,59,276,"1,502","2,631","3,418","6,967",0,0,104,545,"1,928","2,940","5,082","12,587"
Mesothelioma,"25,507","18,534","6,973",0,0,4,112,1047,2091,4274,11005,0,0,0,79,616,989,1580,3709
"Lymphomas, multiple myeloma","354,614","203,684","150,931",0,686,"2,188","8,499","27,556",32817,47128,84810,0,431,"1,127","5,310","15,473",18987,31289,78315
Hodgkin lymphoma,"24,347","14,945","9,402",0,28,441,"2,075","3,821","2,479","2,667","3,434",0,24,168,"1,421","2,122","1,190","1,521","2,956"
Non-Hodgkin lymphoma,"231,870","136,214","95,656",0,658,"1,733","6,175","20,346","22,488","30,782","54,032",0,407,938,"3,743","11,105","11,986","18,619","48,859"
Multiple myeloma,98397,52525,45872,0,0,14,249,3389,7850,13678,27344,0,0,21,146,2246,5811,11149,26500
Leukaemia,293116,164401,128715,73,5702,8893,15205,24871,20392,29728,59537,62,4919,6609,10258,19138,16209,21381,50139
Other malignant neoplasms,478858,257273,221585,74,3679,5573,15122,41715,46595,58271,86245,87,2986,4780,11774,35949,35241,43916,86853
Other neoplasms,119491,61969,57522,5,139,363,922,3138,5000,10592,41809,3,122,372,681,2945,3908,7192,42298
Diabetes mellitus,"1,333,241","641,494","691,747",22,1764,1264,6324,51851,107368,168656,304245,9,1429,1677,5924,41125,91011,161295,"389,277"
"Endocrine, blood, immune disorders","293,490","138,781","154,709",545,18691,11081,"9,978","16,323","14,084","18,871","49,208",428,17472,10511,9241,"15,956","12,359","17,105","71,638"
Thalassaemias,"11,252","5,505","5,747",107,2356,1176,833,677,276,76,5,79,2167,1114,"1,124",819,332,105,7
Sickle cell disorders and trait,"45,232","21,907","23,326",49,8437,6949,"3,943","2,160",311,50,7,38,9419,7114,"3,638","2,561",430,102,23
Other haemoglobinopathies and haemolytic anaemias,"45,818","22,504","23,314",9,313,780,1892,"2,580","2,551",4081,10298,5,144,439,1304,2398,2230,3462,13333
"Other endocrine, blood and immune disorders","191,188","88,865","102,323",381,7585,2176,3309,"10,905",10947,14664,38898,307,5743,1843,3175,10177,9367,13435,58275
Mental and substance use disorders,308824,233093,75731,0,14,116,27071,93144,52045,34643,26059,0,0,27,7727,24043,15787,11787,16359
Depressive disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major depressive disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysthymia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bipolar disorder,780,281,499,0,0,0,5,40,41,60,136,0,0,0,3,40,40,75,340
Schizophrenia,4949,2387,2562,0,0,1,58,453,468,553,854,0,0,0,22,219,288,441,1592
Alcohol use disorders,146337,124718,21619,0,0,4,6168,47757,34790,23572,12426,0,0,2,839,6665,6058,4511,3543
Drug use disorders,154811,104665,50146,0,14,89,20752,44695,16562,10201,12351,0,0,7,6782,16935,9250,6601,10570
Opioid use disorders,"99,401",69911,29490,0,14,89,15295,30369,10351,6676,7116,0,0,7,4392,10289,5481,3985,5337
Cocaine use disorders,7183,5449,1734,0,0,0,670,2459,1409,662,249,0,0,0,199,873,417,178,67
Amphetamine use disorders,"4,513","3,229","1,283",0,0,0,582,"1,565",678,315,90,0,0,0,320,560,230,127,46
Cannabis use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other drug use disorders,"43,714","26,076","17,639",0,0,0,"4,205","10,302","4,124","2,549","4,896",0,0,0,"1,871","5,213","3,122","2,312","5,120"
Anxiety disorders,93,57,36,0,0,0,2,10,6,20,18,0,0,1,0,10,7,4,13
Eating disorders,93,24,68,0,0,0,7,17,0,0,0,0,0,2,26,40,0,0,0
Autism and Asperger syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Childhood behavioural disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attention deficit/hyperactivity syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idiopathic intellectual disability,"1,759",960,799,0,0,21,79,173,177,236,274,0,0,15,55,133,143,155,298
Other mental and behavioural disorders,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Neurological conditions,"1,909,701","775,196","1,134,505",4,9399,8409,"19,258","32,289","34,476","73,662","597,699",4,7225,7152,"11,726","22,122","28,942","67,757","989,577"
Alzheimer disease and other dementias,"1,338,979","459,940","879,039",0,0,119,180,"2,038","8,925","32,896","415,782",0,0,86,110,"1,738","9,484","37,557","830,064"
Parkinson disease,"275,863","155,798","120,065",0,0,0,40,"1,244","4,013","15,315","135,186",0,0,0,17,692,"2,647","9,639","107,070"
Epilepsy,"109,951","62,564","47,387",0,"6,125","4,948","11,944","16,800","7,222","6,299","9,225",0,"4,948","3,960","7,919","9,732","5,130","4,695","11,002"
Multiple sclerosis,"21,692","8,604","13,088",0,0,19,163,"2,045","2,184","2,193","2,000",0,0,79,267,"2,581","3,083","3,211","3,867"
Migraine,20,14,6,0,0,0,2,2,4,2,3,0,0,0,0,1,0,1,4
Non-migraine headache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other neurological conditions,"163,196","88,276","74,920",4,3274,3322,"6,929","10,159","12,128","16,957","35,502",4,2277,"3,028","3,412","7,378","8,598","12,653","37,570"
Sense organ diseases,654,307,346,0,0,5,11,23,34,46,189,0,0,3,5,17,16,25,280
Cardiovascular diseases,"16,858,886","8,752,849","8,106,037",560,16092,12435,"85,205","705,675","1,186,088","1,874,919","4,871,875",455,14835,11774,"49,000","344,164","625,269","1,177,232","5,883,307"
Rheumatic heart disease,"290,815","126,482","164,332",0,1122,2314,"9,025","21,048","19,785","25,075","48,113",0,1398,2701,"7,924","26,118","26,941","29,900","69,351"
Hypertensive heart disease,"1,068,241","467,126","601,115",0,0,19,"2,209","27,111","50,904","90,490","296,392",0,0,11,1864,"20,415","42,212","82,207","454,406"
Ischaemic heart disease,"8,372,294","4,545,013","3,827,281",0,0,66,"34,504","388,026","674,678","987,421","2,460,318",0,0,55,"16,388","145,693","283,993","543,164","2,837,989"
Stroke,"5,848,042","2,973,329","2,874,713",218,5959,"5,280","24,415","198,618","361,882","660,696","1,716,261",164,4588,"4,239","13,569","117,372","232,421","454,813","2,047,546"
Ischaemic stroke,"2,840,851","1,353,124","1,487,727",34,810,427,2869,"28,306","80,673","246,246","993,759",43,769,367,2093,"16,973","42,365","148,088","1,277,029"
Haemorrhagic stroke,"3,007,191","1,620,205","1,386,986",184,"5,150","4,853","21,545","170,312","281,209","414,450","722,502",121,"3,819","3,872","11,476","100,400","190,056","306,725","770,517"
"Cardiomyopathy, myocarditis, endocarditis","347,148","205,522","141,626",172,5221,1985,8431,"41,183","36,834","37,846","73,850",135,4520,1855,3939,"15,216","13,778","17,448","84,735"
Other circulatory diseases,"932,346","435,376","496,970",170,3789,2771,6621,"29,688","42,005","73,391","276,941",156,4329,2912,5316,"19,351","25,925","49,700","389,281"
Respiratory diseases,"3,885,894","2,190,959","1,694,935",0,5506,4209,"13,112","71,599","175,210","420,154","1,501,169",0,6261,4649,"9,441","49,093","109,874","257,064","1,258,553"
Chronic obstructive pulmonary disease,"3,014,102","1,747,939","1,266,163",0,612,420,"3,829","35,840","120,944","334,724","1,251,570",0,962,430,"2,467","19,282","65,566","188,094","989,361"
Asthma,"450,936","212,289","238,647",0,"3,861","2,771","5,647","20,662","30,903","49,224","99,220",0,"4,126","2,775","5,080","22,162","32,273","47,990","124,241"
Other respiratory diseases,"420,856","230,731","190,125",0,1034,1018,3635,15096,23362,"36,207","150,379",0,1173,1444,1894,7650,12034,20980,"144,950"
Digestive diseases,"2,328,820","1,387,910","940,910",511,21102,14416,"46,766","285,344","280,664","300,670","438,435",372,17139,12351,"30,040","105,226","125,354","172,086","478,344"
Peptic ulcer disease,"217,533","119,741","97,792",0,514,840,"3,578","16,882","20,029","25,652","52,245",0,867,"1,390","2,372","7,908","11,344","17,648","56,262"
Cirrhosis of the liver,"1,247,063","823,374",423689,0,4853,6650,28256,208825,200638,193646,"180,507",0,4757,5074,16926,69213,78527,95445,153748
Cirrhosis due to hepatitis B,"316,096","227,603","88,492",0,54,319,7230,71787,56172,"47,895","44,145",0,22,97,2340,18668,18112,19291,"29,963"
Cirrhosis due to hepatitis C,"325,462","220,123","105,340",0,49,236,"6,185","58,930","54,386","50,372","49,965",0,23,105,"2,885","19,962","20,807","23,722","37,835"
Cirrhosis due to alcohol use,299640,221575,78065,0,0,0,1991,49438,62449,62974,44724,0,0,0,518,12067,18808,22324,24348
Other liver cirrhosis,"305,865",154073,"151,792",0,4749,6094,12850,28670,27631,32406,41673,0,4711,4873,11183,"18,516","20,799","30,109","61,601"
Appendicitis,"31,234","15,276","15,958",0,722,1411,1829,2784,1991,"2,305","4,235",0,776,1295,2556,2425,"2,144","2,330","4,433"
