causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Infectious and parasitic diseases,"5,101,200","2,722,126","2,379,074","56,850","667,198","200,502","259,977","571,449","282,002","245,813","438,336","46,557","606,657","190,321","215,838","373,596","185,788","197,689","562,628"
Tuberculosis,"1,208,044","745,853","462,190",0,"72,676","25,692","126,653","240,737","121,425","80,499","78,172",0,"61,554","25,184","100,170","134,380","61,503","37,391","42,008"
STDs excluding HIV,"49,496","25,954","23,542","11,060","12,852",387,147,415,385,269,439,"9,835","6,972",479,809,"1,690","1,214",906,"1,637"
Syphilis,"43,427","25,463","17,964","11,060","12,852",354,105,315,299,221,257,"9,835","6,972",433,123,183,86,76,256
Chlamydia,793,4,789,0,0,0,1,1,0,0,2,0,0,10,124,209,174,103,169
Gonorrhoea,"2,409",123,"2,286",0,0,4,20,32,20,21,26,0,0,16,274,617,511,383,484
Trichomoniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genital herpes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other STDs,"2,867",364,"2,503",0,0,30,21,66,66,26,154,0,0,20,288,680,443,345,727
HIV/AIDS,"674,662","382,548","292,115",312,"32,769","14,900","43,933","201,881","61,170","21,307","6,275",309,"31,753","14,355","49,092","142,936","36,231","13,428","4,010"
Diarrhoeal diseases,"1,519,229","707,304","811,925","8,597","196,482","65,623","37,675","49,373","43,669","76,734","229,152","6,930","168,508","63,549","32,273","41,268","43,728","91,216","364,454"
Childhood-cluster diseases,"329,475","168,120","161,355","16,693","125,409","16,614","1,703","2,828","1,938","1,534","1,402","13,301","119,446","21,203","1,317","2,005","1,308","1,023","1,752"
Whooping cough,"111,317","54,066","57,251",0,"49,102","4,273",368,220,97,1,5,0,"49,846","6,733",379,197,91,0,5
Diphtheria,"4,964","2,659","2,305",0,"1,993",531,37,60,36,2,0,0,"1,735",485,20,35,25,1,4
Measles,"165,756","84,847","80,909",0,"74,120","10,567",106,46,3,2,3,0,"67,702","12,957",148,99,2,1,1
Tetanus,"47,437","26,547","20,890","16,693",194,"1,243","1,192","2,501","1,802","1,529","1,393","13,301",163,"1,028",770,"1,674","1,190","1,022","1,742"
Meningitis,"233,303","124,701","108,601","16,976","38,622","17,527","10,405","14,910","8,465","7,976","9,821","13,011","32,392","17,709","8,132","10,967","7,001","7,207","12,183"
Encephalitis,"77,757","40,912","36,845","1,735","5,500","4,474","3,890","6,247","3,511","5,286","10,269","1,953","4,994","3,956","2,706","3,960","3,074","4,910","11,292"
Hepatitis,"99,830","56,551","43,279",0,"5,044","3,231","5,172","11,396","9,797","10,620","11,291",0,"3,764","3,112","3,402","6,574","6,113","6,570","13,744"
Acute hepatitis A,"39,620","20,598","19,022",0,"2,974","2,390","2,561","3,803","2,430","2,455","3,985",0,"2,384","2,057","2,063","3,132","2,365","1,934","5,087"
Acute hepatitis B,"36,036","23,219","12,817",0,"1,667",673,"2,290","5,759","4,104","4,524","4,202",0,"1,032",802,"1,018","2,173","1,796","2,415","3,582"
Acute hepatitis C,"22,147","11,462","10,685",0,234,106,186,"1,564","3,111","3,426","2,836",0,221,190,239,"1,134","1,868","2,135","4,899"
Acute hepatitis E,"2,027","1,271",755,0,170,62,135,270,152,216,267,0,128,63,82,136,84,86,176
Parasitic and vector diseases,"537,286","276,402","260,885",73,"136,524","31,216","22,432","29,431","19,250","19,925","17,549",65,"146,496","23,144","13,363","21,327","16,518","18,748","21,224"
Malaria,"410,762","210,300","200,462",0,"129,026","18,872","14,155","16,888","11,441","12,013","7,905",0,"139,544","14,709","8,634","10,293","8,394","10,426","8,462"
African Trypanosomiasis,"1,616",785,831,0,16,259,211,193,55,33,18,0,13,292,197,189,66,48,26
Chagas disease,"7,558","4,097","3,461",0,1,3,20,300,549,"1,060","2,164",0,1,1,9,165,341,675,"2,269"
Schistosomiasis,"11,792","6,612","5,180",0,72,265,491,"1,646","1,358","1,346","1,435",0,69,293,278,930,953,"1,100","1,556"
co,"5,780","3,909","1,871",0,928,"1,673",532,431,127,110,108,0,460,878,169,186,66,50,61
Lymphatic filariasis,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Onchocerciasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
