causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Cysticercosis,"7,408","2,804","4,604",0,31,158,594,"1,094",421,303,202,0,75,355,751,"1,507",741,619,556
Echinococcosis,"9,263","3,714","5,550",0,287,369,322,779,559,585,813,0,555,521,327,905,692,811,"1,738"
Dengue,"30,020","15,936","14,084",72,"2,307","1,373","2,248","2,947","1,810","1,969","3,209",65,"1,884","1,421","1,312","2,178","1,568","1,687","3,970"
Trachoma,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Yellow fever,"6,095","4,180","1,915",1,380,"1,980",786,538,171,143,182,0,137,961,281,220,91,85,139
Rabies,"46,989","24,063","22,926",0,"3,476","6,264","3,073","4,616","2,757","2,363","1,513",0,"3,759","3,713","1,404","4,753","3,604","3,247","2,446"
Intestinal nematode infections,"2,151","1,144","1,007",0,709,294,28,34,17,26,37,0,571,307,17,24,16,23,49
Ascariasis,"2,150","1,144","1,006",0,709,294,28,34,17,26,36,0,571,307,17,24,15,23,49
Trichuriasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hookworm disease,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food-bourne trematodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leprosy,253,185,67,0,0,0,12,38,30,40,65,0,0,0,4,13,6,7,36
Other infectious diseases,"369,713","192,452","177,261","1,404","40,610","20,544","7,928","14,160","12,346","21,597","73,863","1,153","30,207","17,321","4,551","8,451","9,076","16,260","90,241"
Respiratory Infectious ,"2,603,913","1,376,941","1,226,972","83,884","325,321","27,306","23,962","76,567","84,888","157,582","597,431","67,081","267,603","28,527","18,004","45,360","52,111","109,252","639,033"
Lower respiratory infections,"2,593,098","1,370,800","1,222,298","83,820","323,121","26,883","23,762","75,992","84,442","157,063","595,715","67,044","266,195","28,215","17,890","45,096","51,916","108,945","636,998"
Upper respiratory infections,"10,054","5,678","4,375",30,"2,157",379,166,504,370,457,"1,616",21,"1,387",280,101,230,157,261,"1,939"
Otitis media,761,463,298,34,43,45,33,71,75,62,100,16,22,32,14,34,38,46,95
Maternal conditions,"196,008",0,"196,008",0,0,0,0,0,0,0,0,0,0,0,"85,528","110,479",0,0,0
Neonatal conditions,"2,037,549","1,130,484","907,065","1,038,073","92,193",42,56,39,31,24,25,"835,047","71,861",37,36,26,20,14,25
Preterm birth complications,"910,396","503,156","407,241","459,652","43,494",6,1,0,0,0,0,"372,834","34,398",4,3,0,0,0,1
Birth asphyxia and birth trauma,"652,489","362,585","289,904","329,138","33,367",15,27,16,10,8,5,"263,189","26,654",16,17,10,10,3,5
Neonatal sepsis and infections,"341,603","189,614","151,989","189,309",176,21,27,23,21,16,20,"151,756",144,17,15,16,11,11,19
Other neonatal conditions,"133,061","75,129","57,932","59,974","15,156",0,0,0,0,0,0,"47,268","10,664",0,0,0,0,0,0
Nutritional deficiencies,"262,737","121,389","141,348",0,"40,943","4,787","2,631","6,063","6,337","10,907","49,721",0,"36,367","6,659","3,466","6,892","6,295","11,051","70,619"
Protein-energy malnutrition,"200,392","96,179","104,213",0,"39,593","4,327","1,943","4,497","4,355","7,403","34,061",0,"34,696","5,708","1,761","3,959","3,567","6,865","47,656"
Iodine deficiency,36,10,27,0,0,0,0,1,0,2,7,0,0,0,0,2,1,6,17
Vitamin A deficiency,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2
Iron-deficiency anaemia,"21,636","9,173","12,463",0,0,38,157,514,608,"1,137","6,719",0,0,45,196,497,479,916,"10,330"
Other nutritional deficiencies,"40,668","16,026","24,642",0,"1,350",422,531,"1,052","1,374","2,364","8,933",0,"1,671",906,"1,509","2,434","2,248","3,262","12,613"
Noncommunicable diseases,"40,804,750","21,763,953","19,040,798","151,886","203,635","98,528","308,252","1,845,894","2,842,836","4,810,837","11,502,083","121,974","170,951","89,960","211,982","1,181,914","1,810,159","3,187,630","12,266,228"
Malignant neoplasms,"9,296,641","5,242,879","4,053,761",238,"14,532","23,423","67,152","464,987","842,600","1,417,167","2,412,781",220,"11,964","18,863","58,487","491,713","676,239","954,197","1,842,077"
Mouth and oropharynx cancers,"388,996","276,471","112,526",0,0,380,"3,626","46,650","70,843","81,681","73,292",0,0,311,"2,134","17,202","23,854","28,704","40,322"
Lip and oral cavity,"191,938","126,794","65,144",0,0,126,"1,775","21,499","31,086","36,002","36,304",0,0,131,"1,024","9,060","12,812","16,119","25,999"
Nasopharynx,"75,300","55,285","20,015",0,0,236,"1,314","12,505","15,401","15,146","10,683",0,0,162,704,"4,369","4,788","4,968","5,024"
Other pharynx,"121,758","94,392","27,366",0,0,18,536,"12,645","24,355","30,533","26,304",0,0,18,406,"3,773","6,253","7,617","9,299"
Oesophagus cancer,"462,995","339,773","123,223",0,0,2,547,"26,896","67,302","106,581","138,445",0,0,21,506,"8,675","17,829","31,403","64,790"
Stomach cancer,"830,682","537,300","293,383",0,0,39,"2,592","44,780","90,041","154,774","245,073",0,0,49,"2,657","28,743","41,254","68,268","152,412"
Colon and rectum cancers,"916,166","506,627","409,540",0,0,168,"3,473","42,779","73,287","129,804","257,116",0,0,185,"2,396","30,769","51,606","86,244","238,340"
Liver cancer,"577,430","396,990","180,440",24,796,658,"3,557","61,114","87,847","110,249","132,745",35,806,483,"1,552","16,280","28,147","45,233","87,906"
Liver cancer secondary to hepatitis B,"221,124","179,364","41,760",0,0,150,"2,680","43,039","48,505","46,941","38,048",0,0,60,744,"7,402","9,170","11,369","13,016"
Liver cancer secondary to hepatitis C,"169,724","90,494","79,230",0,0,2,91,"5,087","14,740","24,741","45,833",0,0,3,75,"3,413","9,692","18,533","47,515"
Liver cancer secondary to alcohol use,"114,730","90,759","23,971",0,0,0,188,"8,128","17,570","29,331","35,542",0,0,0,57,"1,806","3,846","7,149","11,113"
Other liver cancer,"71,851","36,372","35,479",24,796,505,598,"4,859","7,032","9,237","13,321",35,806,420,676,"3,658","5,439","8,182","16,262"
Pancreas cancer,"447,208","238,777","208,431",0,0,13,546,"16,880","38,982","69,786","112,570",0,0,5,359,"8,922","24,400","50,888","123,857"
"Trachea, bronchus, lung cancers","1,784,109","1,211,681","572,428",0,0,207,"2,647","59,898","190,177","380,014","578,739",0,0,133,"1,577","31,331","80,951","154,620","303,817"
Melanoma and other skin cancers,"125,894","72,024","53,870",0,20,63,721,"6,825","10,196","16,511","37,688",0,17,86,604,"5,070","7,186","10,500","30,406"
Malignant skin melanoma,"60,260","33,835","26,425",0,20,36,420,"3,933","5,209","7,899","16,319",0,17,38,383,"3,087","3,784","5,503","13,613"
Non-melanoma skin cancer,"65,634","38,189","27,445",0,0,28,301,"2,892","4,987","8,613","21,369",0,0,49,221,"1,983","3,402","4,997","16,794"
Breast cancer,"640,112","6,851","633,262",0,0,0,51,593,"1,312","2,029","2,865",0,0,18,"5,875","126,596","141,354","143,428","215,991"
Cervix uteri cancer,"304,946",0,"304,946",0,0,0,0,0,0,0,0,0,0,34,"4,567","79,219","81,542","72,399","67,184"
Corpus uteri cancer,"89,528",0,"89,528",0,0,0,0,0,0,0,0,0,0,18,272,"6,092","13,885","26,334","42,926"
Ovary cancer,"178,457",0,"178,457",0,0,0,0,0,0,0,0,0,0,361,"2,503","25,588","39,485","47,734","62,786"
Prostate cancer,"389,433","389,433",0,0,0,3,268,"2,419","14,162","67,173","305,407",0,0,0,0,0,0,0,0
Testicular cancer,"9,738","9,738",0,2,115,112,"2,386","3,670","1,019",990,"1,444",0,0,0,0,0,0,0,0
Kidney cancer,"153,385","98,825","54,560",10,609,473,685,"8,224","16,208","26,213","46,404",7,560,546,621,"3,899","6,133","11,824","30,970"
Bladder cancer,"201,999","149,785","52,214",0,0,48,227,"4,591","13,013","32,072","99,835",0,0,12,134,"2,097","4,352","8,981","36,638"
Brain and nervous system cancers,"242,084","134,546","107,537",70,"3,385","4,744","6,601","25,672","26,252","32,514","35,309",38,"2,653","4,092","4,771","17,010","18,842","25,325","34,808"
Gallbladder and biliary tract cancer,"161,386","69,532","91,853",0,0,3,149,"4,362","9,761","17,584","37,673",0,0,10,265,"5,849","12,783","21,683","51,265"
Larynx cancer,"112,716","96,115","16,601",0,0,10,212,"8,217","22,024","32,085","33,567",0,0,3,172,"1,594","3,226","4,875","6,731"
Thyroid cancer,"41,444","16,280","25,164",0,0,61,295,"1,535","2,768","3,851","7,768",0,0,109,568,"2,024","3,094","5,683","13,687"
Mesothelioma,"26,590","19,252","7,338",0,0,4,107,"1,021","2,079","4,159","11,882",0,0,0,76,628,"1,012","1,679","3,942"
"Lymphomas, multiple myeloma","383,063","219,495","163,568",0,664,"2,053","8,398","28,460","34,139","51,503","94,278",0,415,"1,135","5,255","16,263","20,266","34,998","85,236"
Hodgkin lymphoma,"24,761","15,136","9,625",0,26,389,"1,916","3,814","2,451","2,864","3,676",0,22,162,"1,372","2,141","1,191","1,616","3,119"
Non-Hodgkin lymphoma,"251,701","146,957","104,744",0,638,"1,652","6,237","21,186","23,491","33,472","60,281",0,392,953,"3,744","11,795","12,994","21,195","53,670"
Multiple myeloma,"106,600","57,401","49,199",0,0,12,245,"3,460","8,196","15,166","30,321",0,0,20,138,"2,326","6,082","12,186","28,447"
Leukaemia,"307,596","172,950","134,646",63,"5,311","8,589","14,731","25,375","21,289","32,101","65,491",57,"4,424","6,218","9,801","19,613","16,947","23,718","53,868"
Other malignant neoplasms,"520,681","280,435","240,246",69,"3,631","5,792","15,333","45,027","49,899","65,491","95,192",84,"3,090","5,034","11,825","38,249","38,093","49,678","94,195"
Other neoplasms,"138,472","73,422","65,050",5,130,376,836,"3,272","5,500","12,759","50,545",3,115,328,647,"3,028","4,199","8,429","48,302"
Diabetes mellitus,"1,496,094","730,234","765,860",22,"1,709","1,334","6,625","56,133","116,625","196,833","350,952",8,"1,344","1,718","6,022","42,361","96,243","184,231","433,933"
"Endocrine, blood, immune disorders","316,274","150,904","165,370",509,"17,133","11,069","10,049","17,248","15,158","21,762","57,975",394,"16,523","10,622","9,325","16,393","13,080","19,574","79,459"
Thalassaemias,"10,774","5,264","5,510",90,"2,153","1,163",793,676,306,78,5,66,"1,989","1,065","1,104",819,353,107,8
Sickle cell disorders and trait,"44,748","21,353","23,395",46,"7,648","6,909","4,029","2,317",334,60,9,35,"9,108","7,265","3,750","2,640",454,115,28
Other haemoglobinopathies and haemolytic anaemias,"49,998","24,415","25,583",7,277,767,"1,887","2,653","2,666","4,551","11,606",4,134,441,"1,285","2,453","2,356","3,923","14,986"
"Other endocrine, blood and immune disorders","210,754","99,872","110,882",366,"7,055","2,231","3,340","11,602","11,852","17,073","46,354",289,"5,292","1,851","3,187","10,482","9,916","15,429","64,438"
Mental and substance use disorders,"347,477","260,207","87,270",0,0,15,"27,842","102,687","56,197","41,959","31,507",0,0,17,"8,324","27,753","17,479","14,329","19,368"
Depressive disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major depressive disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysthymia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bipolar disorder,954,350,604,0,0,0,4,36,48,84,178,0,0,0,3,35,58,97,411
Schizophrenia,"6,058","2,940","3,118",0,0,1,72,458,555,753,"1,101",0,0,0,26,204,331,527,"2,029"
Alcohol use disorders,"156,546","133,981","22,566",0,0,2,"5,729","50,165","36,155","27,733","14,196",0,0,3,765,"7,063","5,985","5,018","3,732"
Drug use disorders,"181,758","121,785","59,973",0,0,0,"21,950","51,803","19,236","13,114","15,683",0,0,0,"7,451","20,234","10,955","8,488","12,844"
Opioid use disorders,"123,848","86,225","37,624",0,0,0,"16,971","37,546","13,096","9,111","9,502",0,0,0,"5,117","13,195","6,964","5,428","6,920"
Cocaine use disorders,"7,420","5,571","1,850",0,0,0,630,"2,525","1,348",761,307,0,0,0,202,938,423,210,77
Amphetamine use disorders,"4,454","3,100","1,355",0,0,0,513,"1,525",620,339,103,0,0,0,311,603,238,150,53
Cannabis use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other drug use disorders,"46,035","26,891","19,145",0,0,0,"3,837","10,207","4,172","2,903","5,771",0,0,0,"1,822","5,499","3,330","2,699","5,795"
Anxiety disorders,121,75,46,0,0,0,3,12,7,19,35,0,0,0,1,12,6,6,21
Eating disorders,103,27,77,0,0,0,8,19,0,0,0,0,0,3,27,47,0,0,0
Autism and Asperger syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Childhood behavioural disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attention deficit/hyperactivity syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idiopathic intellectual disability,"1,935","1,048",887,0,0,11,77,195,197,255,313,0,0,11,52,158,143,193,330
Other mental and behavioural disorders,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Neurological conditions,"2,299,308","945,669","1,353,639",4,"8,145","8,217","19,814","34,798","38,247","88,087","748,356",4,"6,195","7,252","12,107","23,382","31,559","80,339","1,192,802"
Alzheimer disease and other dementias,"1,639,085","578,592","1,060,493",0,0,105,176,"2,037","9,988","39,650","526,636",0,0,90,110,"1,803","10,609","44,730","1,003,151"
Parkinson disease,"328,645","187,061","141,584",0,0,0,28,"1,266","4,368","17,936","163,463",0,0,0,14,681,"2,840","11,391","126,658"
Epilepsy,"115,890","65,749","50,141",0,"5,234","4,835","12,117","17,841","7,569","7,278","10,876",0,"4,069","3,933","8,085","10,183","5,382","5,391","13,098"
Multiple sclerosis,"24,384","9,820","14,564",0,0,23,160,"2,196","2,387","2,599","2,454",0,0,95,273,"2,702","3,192","3,709","4,593"
Migraine,18,10,8,0,0,0,0,2,3,2,3,0,0,0,1,2,0,1,2
Non-migraine headache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other neurological conditions,"191,285","104,436","86,849",4,"2,911","3,254","7,333","11,456","13,933","20,622","44,924",4,"2,125","3,133","3,625","8,010","9,536","15,116","45,300"
Sense organ diseases,739,354,385,0,0,7,13,31,31,52,221,0,0,4,8,21,20,33,300
Cardiovascular diseases,"17,863,827","9,323,254","8,540,573",473,"13,717","11,867","81,558","705,599","1,191,369","2,058,847","5,259,823",384,"12,363","11,270","47,981","339,840","631,284","1,297,136","6,200,315"
Rheumatic heart disease,"288,348","125,943","162,404",0,913,"2,149","8,802","20,729","18,795","25,391","49,165",0,"1,031","2,507","7,598","25,074","25,066","30,129","70,999"
Hypertensive heart disease,"1,148,939","507,943","640,996",0,0,13,"2,173","27,361","52,735","99,910","325,751",0,0,14,"1,850","20,300","43,278","89,821","485,732"
Ischaemic heart disease,"8,884,887","4,847,657","4,037,229",0,0,61,"33,693","394,226","674,589","1,089,524","2,655,565",0,0,51,"16,578","146,524","286,880","603,806","2,983,390"
Stroke,"6,193,978","3,160,831","3,033,147",176,"4,949","4,914","22,888","192,540","367,152","722,232","1,845,980",129,"3,694","3,931","12,908","113,299","236,262","499,766","2,163,157"
Ischaemic stroke,"3,072,131","1,477,581","1,594,551",26,657,405,"2,723","27,767","83,107","278,293","1,084,601",37,639,350,"2,025","16,882","44,517","169,185","1,360,915"
Haemorrhagic stroke,"3,121,847","1,683,250","1,438,596",150,"4,292","4,509","20,165","164,773","284,044","443,940","761,378",92,"3,055","3,581","10,882","96,417","191,746","330,581","802,242"
"Cardiomyopathy, myocarditis, endocarditis","349,908","207,698","142,210",153,"4,605","1,987","7,463","40,084","35,152","40,660","77,594",117,"3,924","1,828","3,629","14,697","13,052","18,609","86,353"
Other circulatory diseases,"997,768","473,181","524,587",144,"3,251","2,743","6,539","30,659","42,947","81,130","305,768",137,"3,715","2,938","5,418","19,945","26,744","55,005","410,684"
Respiratory diseases,"4,136,899","2,319,889","1,817,010",0,"4,513","3,926","12,819","70,897","172,491","449,629","1,605,613",0,"5,285","4,426","9,222","48,283","109,531","277,256","1,363,007"
Chronic obstructive pulmonary disease,"3,227,873","1,858,369","1,369,503",0,490,380,"3,671","35,285","119,901","359,356","1,339,287",0,808,406,"2,396","18,789","66,059","204,398","1,076,647"
Asthma,"455,153","212,531","242,622",0,"3,102","2,555","5,461","20,253","28,830","50,821","101,509",0,"3,357","2,544","4,939","21,599","30,729","49,234","130,219"
Other respiratory diseases,"453,872","248,988","204,884",0,921,990,"3,688","15,359","23,760","39,452","164,818",0,"1,119","1,476","1,887","7,895","12,743","23,623","156,141"
Digestive diseases,"2,455,000","1,461,298","993,702",507,"19,354","14,541","46,428","288,573","282,621","327,390","481,883",368,"15,311","12,211","30,129","105,831","126,615","187,931","515,306"
Peptic ulcer disease,"220,263","119,647","100,616",0,427,779,"3,387","15,974","18,720","26,200","54,161",0,776,"1,388","2,336","7,737","10,603","18,390","59,386"
Cirrhosis of the liver,"1,315,359","867,023","448,337",0,"4,519","6,586","28,078","211,802","203,848","212,517","199,673",0,"4,114","4,877","16,882","69,508","79,504","104,900","168,551"
Cirrhosis due to hepatitis B,"311,622","222,080","89,541",0,48,288,"6,383","67,098","53,553","48,515","46,195",0,18,86,"2,129","17,996","17,732","19,930","31,650"
Cirrhosis due to hepatitis C,"351,313","238,258","113,055",0,46,238,"6,480","61,545","56,528","56,836","56,584",0,20,102,"2,864","20,087","21,527","26,614","41,842"
Cirrhosis due to alcohol use,"323,276","239,820","83,456",0,0,0,"1,994","52,548","64,920","70,544","49,813",0,0,0,505,"12,337","19,047","24,918","26,650"
Other liver cirrhosis,"329,149","166,865","162,283",0,"4,425","6,060","13,220","30,611","28,847","36,623","47,080",0,"4,075","4,690","11,385","19,088","21,198","33,438","68,409"
Appendicitis,"31,368","15,288","16,081",0,598,"1,311","1,779","2,785","1,927","2,409","4,479",0,660,"1,222","2,554","2,397","2,063","2,402","4,783"
Gastritis and duodenitis,"35,747","20,084","15,663",0,406,90,587,"2,797","3,002","3,796","9,405",0,55,176,259,"1,086","1,237","2,529","10,321"
Paralytic ileus and intestinal obstruction,"214,824","114,623","100,200",375,"9,932","3,667","5,036","14,695","12,346","19,856","48,716",300,"7,240","2,269","3,985","7,070","8,913","14,277","56,147"
Inflammatory bowel disease,"25,704","12,840","12,864",0,345,136,433,"1,714","1,701","2,519","5,991",0,414,176,477,"1,261","1,247","1,965","7,325"
Gallbladder and biliary diseases,"117,031","49,802","67,229",0,145,404,647,"2,982","4,221","8,142","33,261",0,434,788,698,"3,335","4,507","9,064","48,402"
Pancreatitis,"108,531","67,922","40,610",0,57,125,"3,642","20,268","13,261","12,727","17,842",0,163,251,"1,151","5,371","5,458","7,716","20,500"
Other digestive diseases,"386,172","194,070","192,102",132,"2,926","1,443","2,839","15,555","23,596","39,223","108,356",68,"1,456","1,065","1,786","8,067","13,082","26,688","139,891"
Genitourinary diseases,"1,641,799","849,825","791,973",86,"7,960","6,991","22,643","84,704","108,938","175,504","442,999",54,"7,544","6,297","17,050","63,355","88,371","139,401","469,900"
Kidney diseases,"1,334,324","697,452","636,872",0,"5,352","5,848","18,844","72,491","94,590","148,962","351,365",0,"5,286","4,790","13,129","52,838","74,769","117,174","368,886"
Acute glomerulonephritis,"9,946","5,365","4,581",0,135,162,236,785,704,"1,089","2,253",0,146,232,195,507,451,846,"2,203"
Chronic kidney disease due to diabetes,"457,973","238,898","219,075",0,32,92,"2,390","25,450","40,912","60,735","109,287",0,36,87,"1,941","18,351","32,104","48,809","117,747"
Other chronic kidney disease,"866,405","453,189","413,216",0,"5,184","5,594","16,217","46,256","52,974","87,138","239,825",0,"5,104","4,471","10,993","33,980","42,214","67,519","248,936"
Benign prostatic hyperplasia,"6,671","6,671",0,0,0,0,1,21,110,561,"5,979",0,0,0,0,0,0,0,0
Urolithiasis,"8,933","5,083","3,850",0,7,20,45,384,644,"1,308","2,675",0,9,20,41,387,447,813,"2,135"
Other urinary diseases,"284,511","140,619","143,892",86,"2,602","1,123","3,754","11,807","13,594","24,673","82,980",54,"2,250","1,392","3,303","8,470","11,791","20,030","96,601"
Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynecological diseases,"7,360",0,"7,360",0,0,0,0,0,0,0,0,0,0,95,577,"1,661","1,364","1,384","2,279"
Skin diseases,"96,581","42,249","54,332",0,"1,418",352,"1,012","4,095","4,537","7,614","23,221",0,"2,457",424,778,"2,787","4,143","6,955","36,788"
Musculoskeletal diseases,"151,345","53,341","98,004",0,0,389,"1,199","3,687","4,555","9,829","33,682",0,0,812,"3,933","9,395","7,725","14,636","61,504"
Rheumatoid arthritis,"43,775","13,687","30,088",0,0,30,63,470,"1,047","2,938","9,138",0,0,51,108,974,"2,119","6,044","20,793"
Osteoarthritis,"5,100","1,598","3,502",0,0,3,2,24,52,145,"1,372",0,0,0,2,11,39,127,"3,322"
Gout,970,749,220,0,0,0,1,67,109,207,366,0,0,0,0,3,10,14,194
Back and neck pain,"5,508","3,114","2,394",0,0,2,6,77,214,501,"2,315",0,0,0,4,28,94,254,"2,013"
Other musculoskeletal disorders,"95,992","34,192","61,799",0,0,355,"1,126","3,049","3,133","6,038","20,491",0,0,759,"3,819","8,379","5,462","8,196","35,183"
Congenital anomalies,"532,854","292,730","240,124","149,718","98,246","16,016","10,243","9,117","3,895","3,319","2,175","120,274","79,037","15,713","7,957","7,747","3,639","3,121","2,637"
Neural tube defects,"79,413","37,274","42,139","21,428","13,844","1,164",339,322,86,71,19,"23,869","15,940","1,485",361,299,95,75,17
Cleft lip and cleft palate,"2,793","1,404","1,389",919,479,2,0,0,1,0,3,"1,002",383,1,1,0,0,0,2
Down syndrome,"22,457","11,389","11,068","2,556","3,891",658,599,"1,092","1,365","1,101",126,"2,569","3,661",687,532,"1,088","1,363","1,016",152
Congenital heart anomalies,"205,619","116,803","88,816","52,015","41,721","8,251","6,295","5,114","1,453","1,157",797,"37,729","30,516","7,985","4,799","4,245","1,296","1,060","1,184"
Other chromosomal anomalies,"21,769","11,027","10,742","5,787","3,304",448,443,423,166,133,324,"5,668","3,406",540,309,260,112,109,338
Other congenital anomalies,"200,803","114,834","85,970","67,013","35,008","5,493","2,567","2,165",824,856,907,"49,437","25,131","5,015","1,956","1,855",771,860,944
Oral conditions,"1,236",579,657,0,0,3,18,65,68,84,341,0,0,3,11,25,33,61,523
Sudden infant death syndrome,"30,205","17,119","13,086",325,"16,776",2,1,2,2,3,8,264,"12,812",1,1,0,1,1,5
Injuries,"4,409,615","3,004,392","1,405,223","17,518","137,317","142,376","618,241","864,876","395,455","334,741","493,867","13,922","119,447","86,379","173,831","238,245","143,836","166,359","463,206"
Unintentional injuries,"3,159,247","2,090,860","1,068,387","14,753","128,494","124,934","351,064","536,513","275,675","250,474","408,954","11,757","110,523","74,841","87,807","141,392","100,277","129,347","412,443"
Road injury,"1,282,150","958,269","323,881",933,"27,327","60,564","223,948","302,575","138,391","107,713","96,819",559,"21,604","35,995","48,042","71,772","46,487","45,451","53,970"
