causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Infectious and parasitic diseases,"8,613,516","4,490,871","4,122,645","162,803","1,583,689","316,127","384,135","875,076","348,979","328,619","491,444","137,145","1,517,712","333,786","396,722","629,017","247,975","266,207","594,080"
Tuberculosis,"1,737,922","1,076,484","661,439",0,"104,481","35,824","185,391","331,388","159,873","133,568","125,960",0,"85,947","34,748","155,731","177,556","81,830","60,499","65,127"
STDs excluding HIV,"50,246","24,967","25,278","13,998","8,035",545,207,666,592,437,486,"13,403","4,567",597,"1,463","2,122","1,081",792,"1,254"
Syphilis,"43,553","24,322","19,231","13,998","8,035",483,144,501,476,367,317,"13,403","4,567",535,213,237,69,50,157
Chlamydia,879,1,878,0,0,0,0,0,0,0,1,0,0,12,229,255,155,94,133
Gonorrhoea,"2,704",191,"2,513",0,0,7,32,65,26,29,33,0,0,21,501,779,455,351,406
Trichomoniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genital herpes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other STDs,"3,110",453,"2,657",0,0,55,31,101,90,41,136,0,0,28,521,851,402,296,558
HIV/AIDS,"1,378,852","708,553","670,299","1,059","127,763","19,585","76,095","374,633","72,924","27,329","9,165","1,042","123,444","18,674","131,280","315,334","53,314","19,967","7,245"
Diarrhoeal diseases,"2,647,914","1,256,913","1,391,001","22,493","570,533","107,093","54,356","69,092","58,733","105,474","269,140","18,883","509,517","126,383","54,957","63,693","66,611","133,237","417,719"
Childhood-cluster diseases,"906,270","451,261","455,009","93,653","292,400","40,860","4,639","7,977","4,525","3,846","3,361","77,646","306,454","50,267","4,345","5,379","3,752","3,008","4,159"
Whooping cough,"130,876","61,524","69,352",0,"53,233","7,126",637,377,148,1,1,0,"57,274","10,928",680,326,144,0,0
Diphtheria,"9,446","5,042","4,404",0,"3,139","1,488",109,189,111,2,3,0,"2,725","1,378",83,130,87,0,2
Measles,"544,316","263,874","280,442",0,"235,206","28,224",380,55,6,1,2,0,"245,704","34,072",568,90,4,1,3
Tetanus,"221,633","120,822","100,811","93,653",822,"4,022","3,513","7,355","4,259","3,843","3,354","77,646",751,"3,889","3,014","4,833","3,519","3,006","4,153"
Meningitis,"456,089","241,705","214,384","26,645","123,224","29,540","13,987","18,978","9,796","9,195","10,340","21,349","103,208","30,888","14,488","14,867","8,456","8,587","12,541"
Encephalitis,"110,974","55,800","55,173","2,671","19,030","6,436","4,475","6,484","3,114","4,686","8,904","2,975","23,506","6,907","3,187","3,821","2,469","4,080","8,230"
Hepatitis,"152,308","84,977","67,330",0,"13,395","7,380","8,607","19,163","11,335","12,201","12,897",0,"11,360","9,066","7,474","10,144","7,286","8,347","13,654"
Acute hepatitis A,"79,066","41,722","37,344",0,"9,685","5,973","4,865","7,368","4,251","4,266","5,314",0,"8,644","6,910","4,856","4,839","3,238","2,922","5,934"
Acute hepatitis B,"49,433","31,358","18,075",0,"2,885","1,096","3,243","8,655","4,945","5,661","4,872",0,"1,884","1,487","1,920","3,268","2,283","3,203","4,031"
Acute hepatitis C,"21,076","10,167","10,909",0,534,222,311,"2,740","1,932","2,008","2,421",0,609,549,552,"1,853","1,680","2,125","3,541"
Acute hepatitis E,"2,733","1,731","1,003",0,291,88,188,401,207,267,289,0,224,119,145,185,84,98,147
Parasitic and vector diseases,"934,210","464,904","469,305",157,"299,783","50,905","28,961","34,068","19,080","18,244","13,706",148,"331,259","40,819","19,015","28,699","16,713","17,348","15,305"
Malaria,"721,143","350,554","370,590",0,"285,727","19,384","12,519","11,510","8,115","8,732","4,567",0,"317,135","17,417","7,774","9,396","6,346","7,920","4,603"
African Trypanosomiasis,"25,024","12,977","12,046",0,172,"4,808","2,803","3,105","1,144",627,319,0,165,"4,627","2,678","2,405","1,123",688,361
Chagas disease,"8,174","4,764","3,409",0,2,3,68,808,"1,056","1,225","1,603",0,2,4,37,413,631,855,"1,467"
Schistosomiasis,"19,671","10,951","8,720",0,82,551,789,"3,180","2,222","2,075","2,052",0,81,523,759,"1,916","1,708","1,686","2,047"
co,"10,445","7,101","3,344",0,"1,522","2,913","1,170",951,226,182,137,0,832,"1,470",387,387,114,87,67
Lymphatic filariasis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Onchocerciasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cysticercosis,"15,703","6,480","9,222",0,109,473,"1,462","2,575",853,620,389,0,247,811,"1,787","3,285","1,252","1,022",817
Echinococcosis,"15,743","6,487","9,256",0,"1,132","1,008",626,"1,305",741,805,871,0,"2,229","1,292",763,"1,509",901,970,"1,591"
Dengue,"19,686","9,932","9,753",156,"2,082","1,504","1,889","1,536",696,795,"1,275",147,"2,333","2,039","1,185","1,302",604,680,"1,463"
Trachoma,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Yellow fever,"13,673","9,445","4,228",2,434,"5,033","1,683","1,244",398,302,350,1,159,"2,290",669,466,201,165,276
Rabies,"84,945","46,212","38,733",0,"8,521","15,229","5,952","7,855","3,630","2,881","2,143",0,"8,075","10,345","2,975","7,617","3,832","3,276","2,613"
Intestinal nematode infections,"4,336","2,273","2,063",0,"1,187",866,54,59,24,34,49,0,"1,017",827,53,50,21,36,59
Ascariasis,"4,318","2,260","2,058",0,"1,187",865,53,55,22,32,46,0,"1,017",827,53,50,21,35,55
Trichuriasis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hookworm disease,17,13,4,0,0,1,1,4,2,2,3,0,0,0,0,0,0,1,3
Food-bourne trematodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leprosy,446,304,142,0,0,0,15,45,35,67,142,0,0,2,9,30,14,16,71
Other infectious diseases,"233,950","122,729","111,220","2,127","23,859","17,092","7,348","12,522","8,948","13,538","37,295","1,700","17,433","14,608","4,722","7,325","6,428","10,291","48,715"
Respiratory Infectious ,"3,074,719","1,613,351","1,461,369","170,597","715,816","44,163","26,739","76,523","66,427","117,812","395,275","139,755","630,708","49,717","25,730","43,575","40,864","81,493","449,525"
Lower respiratory infections,"3,050,943","1,600,972","1,449,971","170,314","711,558","43,282","26,340","75,447","65,615","116,869","391,548","139,507","627,190","48,884","25,410","43,047","40,545","80,932","444,455"
Upper respiratory infections,"22,271","11,380","10,891",204,"4,187",793,346,873,565,821,"3,592",203,"3,474",770,285,462,261,480,"4,956"
Otitis media,"1,505",998,507,79,71,88,54,203,246,121,136,45,45,62,35,67,59,81,113
Maternal conditions,"380,168",0,"380,168",0,0,0,0,0,0,0,0,0,0,0,"187,858","192,309",0,0,0
Neonatal conditions,"3,198,431","1,752,629","1,445,802","1,639,478","113,055",43,34,16,2,1,0,"1,352,411","93,326",37,14,7,2,3,1
Preterm birth complications,"1,358,066","743,637","614,429","683,656","59,975",1,3,1,0,1,0,"563,871","50,553",3,1,0,0,0,1
Birth asphyxia and birth trauma,"1,128,899","619,027","509,872","582,274","36,716",22,11,3,1,0,0,"479,882","29,969",16,3,0,1,0,0
Neonatal sepsis and infections,"479,659","261,745","217,915","261,612",81,19,20,12,1,0,0,"217,813",63,18,9,7,1,3,0
Other neonatal conditions,"231,806","128,220","103,586","111,936","16,284",0,0,0,0,0,0,"90,845","12,741",0,0,0,0,0,0
