causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Nutritional deficiencies,"447,062","215,447","231,615",249,"98,598","15,886","6,201","13,762","12,799","19,449","48,503",194,"88,794","17,779","8,432","13,361","11,553","20,366","71,136"
Protein-energy malnutrition,"370,712","184,509","186,203",249,"94,644","13,765","4,815","11,183","10,020","14,882","34,950",194,"85,047","14,536","4,745","8,665","7,798","14,355","50,862"
Iodine deficiency,21,11,10,0,0,0,0,1,0,4,6,0,0,0,1,3,1,0,5
Vitamin A deficiency,15,4,10,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,8
Iron-deficiency anaemia,"13,857","5,568","8,289",0,0,74,185,448,424,708,"3,729",0,0,70,227,471,359,603,"6,559"
Other nutritional deficiencies,"62,458","25,355","37,103",0,"3,954","2,046","1,201","2,130","2,355","3,856","9,813",0,"3,747","3,173","3,459","4,221","3,395","5,407","13,701"
Noncommunicable diseases,"31,170,466","16,404,715","14,765,751","185,413","280,155","120,322","330,976","1,796,716","2,150,098","3,727,931","7,813,104","150,618","245,486","114,782","266,012","1,176,762","1,331,052","2,475,818","9,005,221"
Malignant neoplasms,"6,793,964","3,820,452","2,973,512",418,"24,408","30,588","70,545","458,869","642,686","1,038,047","1,554,890",368,"21,193","25,859","68,057","462,996","461,305","657,529","1,276,205"
Mouth and oropharynx cancers,"260,634","183,444","77,190",0,0,556,"3,466","38,816","47,096","50,581","42,928",0,0,467,"2,653","15,214","15,349","18,507","25,000"
Lip and oral cavity,"121,694","81,979","39,715",0,0,167,"1,427","16,581","20,283","22,599","20,921",0,0,158,960,"6,344","7,410","9,758","15,087"
Nasopharynx,"61,108","41,713","19,395",0,0,364,"1,639","11,715","10,503","10,003","7,488",0,0,290,"1,226","5,708","3,984","3,987","4,201"
Other pharynx,"77,832","59,752","18,080",0,0,25,400,"10,520","16,310","17,979","14,519",0,0,19,468,"3,162","3,955","4,763","5,713"
Oesophagus cancer,"399,311","273,615","125,696",0,0,3,583,"31,467","57,818","83,765","99,979",0,0,13,700,"10,686","17,678","33,622","62,996"
Stomach cancer,"788,455","491,063","297,392",0,0,40,"3,412","56,004","84,844","143,989","202,775",0,0,49,"4,488","40,049","37,855","67,165","147,785"
Colon and rectum cancers,"596,991","307,192","289,799",0,0,213,"3,050","29,311","42,878","81,097","150,642",0,0,238,"2,716","26,157","32,720","58,886","169,083"
Liver cancer,"545,423","382,450","162,973",53,929,835,"5,453","81,484","85,804","102,843","105,049",51,"1,085",700,"2,533","23,890","25,369","39,122","70,223"
Liver cancer secondary to hepatitis B,"264,149","216,137","48,012",0,0,284,"4,434","62,790","55,882","52,896","39,851",0,0,120,"1,399","12,193","9,658","11,441","13,199"
Liver cancer secondary to hepatitis C,"138,505","72,931","65,573",0,0,3,101,"5,464","12,194","22,447","32,721",0,0,4,110,"4,330","8,013","15,916","37,201"
Liver cancer secondary to alcohol use,"81,829","63,235","18,595",0,0,0,186,"7,464","11,897","20,341","23,347",0,0,0,65,"2,068","2,982","5,336","8,143"
Other liver cancer,"60,941","30,147","30,794",53,929,548,732,"5,766","5,831","7,158","9,129",51,"1,085",576,958,"5,299","4,716","6,428","11,680"
Pancreas cancer,"234,297","123,503","110,794",0,0,10,462,"11,867","21,799","36,154","53,211",0,0,8,364,"6,580","12,566","25,597","65,679"
"Trachea, bronchus, lung cancers","1,205,688","863,693","341,996",0,0,245,"3,011","70,605","148,060","275,604","366,168",0,0,144,"2,112","34,272","49,031","87,624","168,814"
Melanoma and other skin cancers,"78,648","43,492","35,156",0,30,66,874,"6,650","7,268","10,306","18,297",0,30,97,775,"5,197","4,937","6,656","17,464"
Malignant skin melanoma,"43,401","23,657","19,743",0,30,36,604,"4,642","4,456","5,490","8,398",0,30,48,515,"3,540","3,013","3,953","8,644"
Non-melanoma skin cancer,"35,247","19,835","15,412",0,0,30,270,"2,008","2,812","4,815","9,899",0,0,48,260,"1,657","1,924","2,703","8,820"
Breast cancer,"445,122","3,896","441,226",0,0,2,49,467,721,955,"1,702",0,0,18,"4,839","106,478","93,011","92,865","144,016"
Cervix uteri cancer,"238,857",0,"238,857",0,0,0,0,0,0,0,0,0,0,34,"5,636","74,025","56,334","51,727","51,102"
Corpus uteri cancer,"66,443",0,"66,443",0,0,0,0,0,0,0,0,0,0,22,481,"7,144","10,027","17,897","30,871"
Ovary cancer,"112,970",0,"112,970",0,0,0,0,0,0,0,0,0,0,347,"2,113","18,386","22,540","28,000","41,585"
Prostate cancer,"260,959","260,959",0,0,0,2,245,"2,055","10,133","48,162","200,362",0,0,0,0,0,0,0,0
Testicular cancer,"7,748","7,748",0,3,139,93,"2,275","3,113",646,610,870,0,0,0,0,0,0,0,0
Kidney cancer,"96,898","59,841","37,057",11,800,537,489,"5,942","10,721","16,910","24,432",10,682,502,477,"2,892","4,261","8,520","19,712"
Bladder cancer,"137,649","99,542","38,107",0,0,48,258,"4,154","9,679","23,979","61,424",0,0,12,187,"2,205","3,091","6,468","26,143"
Brain and nervous system cancers,"172,164","96,337","75,827",102,"5,225","5,980","6,662","22,144","17,304","19,960","18,959",57,"3,758","4,795","5,142","15,206","11,951","15,389","19,530"
Gallbladder and biliary tract cancer,"109,519","42,254","67,265",0,0,3,135,"3,395","6,161","11,500","21,060",0,0,12,272,"4,832","8,695","16,048","37,406"
Larynx cancer,"92,593","80,098","12,494",0,0,14,240,"9,651","18,948","25,974","25,270",0,0,3,209,"1,654","2,344","3,443","4,840"
Thyroid cancer,"26,978","9,014","17,964",0,0,68,266,"1,129","1,497","2,319","3,735",0,0,137,847,"1,920","2,139","3,933","8,988"
Mesothelioma,"14,222","9,832","4,390",0,0,5,113,871,"1,606","2,685","4,551",0,0,1,96,642,654,"1,054","1,944"
"Lymphomas, multiple myeloma","261,771","144,489","117,282",0,"1,184","3,014","8,887","22,744","22,191","33,081","53,388",0,775,"1,601","5,844","13,918","13,836","24,083","57,225"
Hodgkin lymphoma,"25,721","15,751","9,970",0,95,834,"2,635","4,356","2,268","2,650","2,912",0,68,297,"1,749","2,420","1,140","1,546","2,751"
Non-Hodgkin lymphoma,"166,519","93,566","72,954",0,"1,089","2,162","6,052","15,636","14,667","20,699","33,262",0,707,"1,283","3,932","9,464","8,532","13,966","35,070"
Multiple myeloma,"69,530","35,172","34,358",0,0,18,200,"2,752","5,256","9,733","17,214",0,0,20,163,"2,034","4,165","8,572","19,404"
Leukaemia,"271,754","146,342","125,412",136,"10,678","13,115","17,625","24,419","16,145","23,754","40,469",101,"10,355","11,096","14,185","22,090","12,564","17,542","37,480"
Other malignant neoplasms,"368,869","191,648","177,221",113,"5,423","5,738","12,990","32,582","31,366","43,817","59,619",149,"4,508","5,561","11,387","29,562","24,353","33,381","68,320"
Other neoplasms,"77,466","38,833","38,633",5,163,428,852,"2,822","3,642","7,391","23,531",3,140,453,710,"2,441","2,699","5,082","27,103"
Diabetes mellitus,"877,288","404,827","472,461",25,"1,735","1,246","6,012","41,333","63,674","108,861","181,942",12,"1,668","1,824","7,074","33,844","57,428","115,987","254,623"
"Endocrine, blood, immune disorders","214,966","100,767","114,200",600,"19,135","11,488","9,217","12,712","8,446","11,021","28,147",498,"16,303","10,114","9,865","13,366","7,926","11,022","45,107"
Thalassaemias,"13,518","6,823","6,695",129,"3,408","1,487",949,619,188,41,2,95,"2,802","1,435","1,171",891,235,61,4
Sickle cell disorders and trait,"40,110","20,242","19,868",62,"7,566","6,872","3,556","1,894",260,29,3,44,"6,864","6,140","4,051","2,387",313,57,11
Other haemoglobinopathies and haemolytic anaemias,"39,872","19,511","20,361",16,438,977,"1,901","2,464","2,078","3,448","8,190",11,224,585,"1,470","2,396","1,836","2,977","10,862"
"Other endocrine, blood and immune disorders","121,467","54,191","67,276",393,"7,723","2,152","2,812","7,735","5,920","7,504","19,953",348,"6,413","1,953","3,173","7,692","5,541","7,927","34,230"
Mental and substance use disorders,"258,565","202,467","56,098",0,6,82,"27,978","95,447","37,455","25,573","15,925",0,0,31,"7,218","20,583","9,858","8,398","10,009"
Depressive disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major depressive disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysthymia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bipolar disorder,383,118,265,0,0,0,2,18,16,22,60,0,0,0,1,18,25,33,187
Schizophrenia,"3,082","1,442","1,640",0,0,0,90,372,257,279,444,0,0,2,36,225,172,249,955
Alcohol use disorders,"158,521","131,528","26,993",0,0,18,"9,045","63,777","30,279","19,714","8,696",0,0,4,"1,671","11,057","6,575","4,773","2,913"
Drug use disorders,"95,337","68,740","26,597",0,6,40,"18,744","31,100","6,799","5,470","6,581",0,0,0,"5,428","9,109","3,018","3,266","5,776"
Opioid use disorders,"57,010","43,181","13,830",0,6,40,"12,819","20,108","3,839","3,228","3,139",0,0,0,"3,175","4,963","1,552","1,702","2,439"
Cocaine use disorders,"3,846","3,043",803,0,0,0,553,"1,632",464,274,120,0,0,0,148,444,99,71,41
Amphetamine use disorders,"3,009","2,221",788,0,0,0,637,"1,136",242,158,49,0,0,0,305,330,67,63,22
Cannabis use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other drug use disorders,"31,472","20,295","11,177",0,0,0,"4,734","8,224","2,254","1,810","3,273",0,0,0,"1,800","3,372","1,301","1,430","3,274"
Anxiety disorders,52,19,32,0,0,0,1,4,1,3,11,0,0,1,1,1,0,6,23
Eating disorders,57,8,49,0,0,0,3,5,0,0,0,0,0,2,21,26,0,0,0
Autism and Asperger syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Childhood behavioural disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attention deficit/hyperactivity syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idiopathic intellectual disability,"1,125",610,515,0,0,24,94,171,103,84,134,0,0,23,60,146,68,71,148
Other mental and behavioural disorders,9,2,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7
Neurological conditions,"988,389","413,717","574,672",6,"14,234","9,897","19,719","29,833","22,030","46,752","271,246",5,"11,680","8,879","13,846","21,626","18,333","42,857","457,447"
Alzheimer disease and other dementias,"583,639","196,566","387,073",0,0,124,185,"1,684","5,356","20,107","169,110",0,0,89,108,"1,383","5,665","22,883","356,946"
Parkinson disease,"162,888","87,990","74,898",0,0,2,23,"1,016","2,612","10,593","73,744",0,0,0,17,695,"1,795","7,196","65,195"
Epilepsy,"112,182","62,364","49,817",0,"10,016","6,490","13,450","17,099","5,210","4,615","5,485",0,"8,953","6,037","10,639","10,873","3,592","3,516","6,208"
Multiple sclerosis,"16,200","6,607","9,593",0,0,27,208,"2,193","1,649","1,353","1,177",0,0,99,340,"2,980","2,290","1,810","2,074"
Migraine,17,8,10,0,0,1,1,2,1,1,2,0,0,0,1,4,1,1,3
Non-migraine headache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other neurological conditions,"113,463","60,182","53,281",6,"4,218","3,254","5,853","7,840","7,201","10,084","21,727",5,"2,727","2,654","2,742","5,691","4,990","7,452","27,020"
Sense organ diseases,460,228,232,0,0,6,21,31,15,26,129,0,0,12,15,20,10,18,156
Cardiovascular diseases,"14,281,317","7,142,095","7,139,222",792,"22,048","14,949","89,736","685,461","903,399","1,664,673","3,761,038",607,"20,559","15,826","69,158","373,885","504,203","1,116,628","5,038,356"
Rheumatic heart disease,"340,640","144,812","195,829",0,"2,155","3,595","12,966","28,373","21,755","29,428","46,540",0,"3,022","4,830","13,860","36,850","27,709","35,250","74,309"
Hypertensive heart disease,"726,736","305,557","421,180",0,0,31,"1,924","22,968","34,990","68,468","177,176",0,0,22,"2,351","20,312","34,094","71,858","292,543"
Ischaemic heart disease,"6,755,954","3,549,390","3,206,563",0,0,103,"33,842","367,028","487,582","839,682","1,821,154",0,0,91,"21,743","140,226","202,431","478,014","2,364,058"
Stroke,"5,463,915","2,632,747","2,831,168",368,"9,043","6,138","25,867","198,044","298,716","629,533","1,465,038",285,"7,030","5,540","20,437","143,188","208,384","471,673","1,974,632"
Ischaemic stroke,"2,471,083","1,086,769","1,384,314",48,"1,035",432,"2,534","26,091","58,625","221,100","776,904",45,922,437,"2,663","17,835","33,832","148,688","1,179,892"
Haemorrhagic stroke,"2,992,832","1,545,978","1,446,854",320,"8,008","5,705","23,333","171,953","240,091","408,433","688,135",240,"6,108","5,103","17,774","125,354","174,552","322,985","794,740"
"Cardiomyopathy, myocarditis, endocarditis","296,141","174,120","122,021",232,"6,292","2,076","8,744","41,356","28,126","32,803","54,491",172,"5,529","2,080","4,662","15,233","11,558","17,106","65,680"
Other circulatory diseases,"697,929","335,469","362,461",192,"4,558","3,006","6,393","27,692","32,230","64,758","196,639",150,"4,978","3,263","6,104","18,076","20,028","42,728","267,134"
Respiratory diseases,"3,761,571","2,093,667","1,667,904",0,"9,355","5,614","16,149","84,910","165,377","447,259","1,365,004",0,"9,913","6,153","14,417","62,168","102,042","266,826","1,206,385"
Chronic obstructive pulmonary disease,"2,986,236","1,696,975","1,289,261",0,"1,108",653,"5,190","44,709","116,537","361,944","1,166,835",0,"1,516",690,"4,462","28,220","61,851","199,408","993,115"
Asthma,"487,156","235,500","251,655",0,"6,822","3,865","7,317","24,968","31,350","56,766","104,412",0,"7,083","4,073","7,802","26,560","31,406","52,010","122,721"
Other respiratory diseases,"288,179","161,192","126,988",0,"1,425","1,096","3,642","15,232","17,490","28,549","93,757",0,"1,315","1,390","2,154","7,388","8,784","15,408","90,549"
Digestive diseases,"2,077,771","1,243,089","834,683",648,"26,740","17,378","54,636","300,976","231,177","262,611","348,923",500,"24,183","15,515","39,161","110,287","103,977","154,123","386,937"
Peptic ulcer disease,"266,879","153,755","113,124",0,745,"1,270","5,990","27,655","24,800","33,880","59,414",0,998,"1,551","5,228","11,513","12,025","21,422","60,387"
Cirrhosis of the liver,"1,098,059","721,276","376,783",0,"6,526","8,134","31,066","211,193","160,097","163,457","140,804",0,"8,022","6,975","20,056","70,362","64,505","84,235","122,627"
Cirrhosis due to hepatitis B,"320,144","226,125","94,019",0,72,393,"8,435","76,478","50,928","47,805","42,013",0,34,132,"3,121","21,694","17,762","20,764","30,512"
Cirrhosis due to hepatitis C,"266,579","180,358","86,222",0,68,310,"6,489","57,907","40,764","39,178","35,641",0,40,142,"3,250","19,612","16,175","19,435","27,568"
Cirrhosis due to alcohol use,"250,002","184,872","65,131",0,0,0,"2,196","49,972","47,993","50,943","33,766",0,0,0,579,"11,575","14,600","19,051","19,325"
Other liver cirrhosis,"261,334","129,922","131,412",0,"6,386","7,431","13,945","26,836","20,411","25,530","29,383",0,"7,948","6,701","13,106","17,481","15,969","24,985","45,222"
Appendicitis,"39,719","19,945","19,774",0,"1,177","2,437","3,214","3,986","2,153","2,578","4,400",0,"1,249","2,074","4,350","3,209","2,081","2,435","4,376"
Gastritis and duodenitis,"33,235","19,756","13,480",0,380,151,725,"3,851","3,228","3,805","7,615",0,90,198,500,"1,346","1,132","2,282","7,933"
Paralytic ileus and intestinal obstruction,"164,423","88,273","76,151",472,"12,522","3,012","4,998","13,254","9,425","14,760","29,829",395,"9,957","2,188","4,075","5,894","6,101","10,283","37,258"
Inflammatory bowel disease,"26,549","12,282","14,267",0,565,177,519,"1,915","1,445","2,171","5,492",0,833,228,601,"1,382","1,044","1,674","8,504"
Gallbladder and biliary diseases,"82,351","33,011","49,340",0,224,346,656,"2,988","3,213","6,395","19,188",0,560,714,894,"3,577","3,891","7,886","31,819"
Pancreatitis,"84,645","53,440","31,205",0,90,156,"4,267","19,448","9,437","8,768","11,275",0,147,272,"1,376","5,254","4,093","5,861","14,202"
Other digestive diseases,"281,911","141,352","140,559",177,"4,512","1,695","3,201","16,685","17,379","26,797","70,906",106,"2,328","1,315","2,081","7,749","9,103","18,046","99,831"
Genitourinary diseases,"988,973","511,477","477,497",116,"11,796","8,107","22,579","69,828","64,555","104,013","230,483",79,"11,996","8,381","21,153","57,884","53,821","82,810","241,373"
Kidney diseases,"812,795","421,982","390,813",0,"7,598","6,565","19,042","59,882","55,951","88,140","184,804",0,"7,802","6,329","16,671","48,681","45,507","70,283","195,540"
Acute glomerulonephritis,"11,556","5,976","5,580",0,325,369,530,"1,256",696,"1,051","1,750",0,390,558,555,"1,144",464,774,"1,695"
Chronic kidney disease due to diabetes,"256,647","131,313","125,334",0,48,113,"2,648","20,220","21,920","32,837","53,527",0,56,133,"2,891","17,235","18,160","26,966","59,892"
Other chronic kidney disease,"544,593","284,694","259,899",0,"7,225","6,083","15,864","38,406","33,336","54,252","129,527",0,"7,356","5,639","13,224","30,302","26,883","42,542","133,953"
Benign prostatic hyperplasia,"4,690","4,690",0,0,0,0,1,9,79,439,"4,161",0,0,0,0,0,0,0,0
Urolithiasis,"8,579","4,889","3,690",0,36,50,96,563,613,"1,219","2,314",0,34,53,113,614,457,771,"1,648"
Other urinary diseases,"156,671","79,916","76,755",116,"4,162","1,492","3,440","9,374","7,913","14,215","39,204",79,"4,160","1,855","3,430","6,891","6,809","10,799","42,731"
Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynecological diseases,"6,239",0,"6,239",0,0,0,0,0,0,0,0,0,0,143,938,"1,698","1,048",957,"1,454"
Skin diseases,"63,800","27,328","36,472",0,"2,695",566,"1,115","3,351","2,688","4,243","12,669",0,"4,787",726,962,"2,399","2,567","3,907","21,125"
Musculoskeletal diseases,"95,432","31,115","64,316",0,0,473,"1,234","3,131","2,809","5,796","17,672",0,0,786,"3,951","7,635","4,727","8,917","38,301"
Rheumatoid arthritis,"28,621","8,694","19,928",0,0,50,92,456,764,"2,033","5,299",0,0,59,170,"1,020","1,527","4,187","12,966"
Osteoarthritis,"3,842","1,127","2,715",0,0,1,0,21,37,95,973,0,0,0,2,12,32,134,"2,535"
Gout,505,388,117,0,0,0,0,47,54,96,190,0,0,0,0,1,7,9,100
Back and neck pain,"1,934","1,013",921,0,0,2,4,62,95,183,666,0,0,0,3,23,44,92,759
Other musculoskeletal disorders,"60,530","19,894","40,636",0,0,419,"1,138","2,546","1,860","3,388","10,543",0,0,727,"3,777","6,580","3,117","4,495","21,940"
Congenital anomalies,"648,334","351,173","297,161","182,356","125,046","19,497","11,166","7,948","2,113","1,643","1,405","148,166","105,032","20,221","10,411","7,589","2,145","1,694","1,903"
Neural tube defects,"107,737","51,887","55,849","34,297","14,975","1,548",542,374,84,60,5,"35,500","17,256","2,126",543,298,64,55,8
Cleft lip and cleft palate,"6,422","3,615","2,807","2,560","1,051",1,0,0,0,0,3,"2,112",693,0,1,1,0,0,0
Down syndrome,"19,672","9,588","10,084","2,915","4,129",584,519,724,477,213,27,"3,050","4,169",679,539,801,537,268,41
Congenital heart anomalies,"266,696","146,127","120,569","62,900","58,152","10,614","7,172","4,847",991,804,647,"47,690","47,108","11,172","6,966","4,805","1,011",801,"1,015"
Other chromosomal anomalies,"16,749","8,430","8,319","4,675","2,700",326,279,225,63,41,121,"4,500","2,817",402,205,148,48,45,154
Other congenital anomalies,"231,058","131,526","99,532","75,010","44,038","6,423","2,654","1,777",497,525,602,"55,314","32,989","5,843","2,156","1,536",485,525,685
Oral conditions,518,240,278,0,0,5,18,64,32,21,99,0,0,2,13,41,10,20,192
Sudden infant death syndrome,"41,652","23,241","18,411",445,"22,796",0,0,0,0,0,0,380,"18,031",0,0,0,0,0,0
Injuries,"4,382,335","2,970,366","1,411,969","31,437","197,881","202,733","761,007","913,037","307,816","251,875","304,578","25,509","177,215","129,776","263,998","286,029","110,723","124,500","294,220"
Unintentional injuries,"2,984,760","1,992,022","992,738","30,419","184,072","176,153","431,219","553,444","202,248","177,918","236,549","23,578","160,802","108,499","127,288","159,050","72,924","92,363","248,234"
