causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Infectious and parasitic diseases,"6,472,884","3,410,444","3,062,439",81254,"969,047","255,546","323,514","741,936","322,276","264,333","452,538",68047,"911,174","252,698","310,414","549,993","212,289","213,351","544,473"
Tuberculosis,"1,431,151","885,341","545,810",0,"86,062",29507,156341,281977,141586,95213,94655,0,"70,786",29276,"128,526","153,911","68,367",44930,"50,014"
STDs excluding HIV,"44,151","22,370","21,781","11,196","9,111",386,158,464,429,268,358,"10,204","5,017",466,1099,1886,1057,734,1317
Syphilis,38142,21864,16278,11196,9111,346,107,345,331,214,212,10204,5017,421,166,206,68,49,146
Chlamydia,788,2,786,0,0,0,1,0,0,0,1,0,0,10,172,231,154,84,135
Gonorrhoea,2389,131,2258,0,0,4,22,37,22,21,24,0,0,16,380,699,447,318,398
Trichomoniasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genital herpes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other STDs,"2,831",373,"2,458",0,0,35,27,82,76,32,121,0,0,19,382,750,387,282,638
HIV/AIDS,"1,106,794","567,693","539,100",668,"78,953","29,751","58,899","308,188","66,069","19,071","6,094",655,"76,290","28,012","93,315","275,826","45,838","14,238","4,926"
Diarrhoeal diseases,"1,924,546","921,632","1,002,914","12,643","325,599","80,192","46,987","61,243","54,371","88,784","251,814","10,587","288,869","83,614","43,883","54,863","52,512","102,670","365,916"
Childhood-cluster diseases,"356,516","178,573","177,944",29207,"115,834","19,999",2445,4406,2818,1972,1891,24027,"116,505","26,419",2080,2953,1931,1507,2521
Whooping cough,"111,578","53,284","58,293",0,"47,210",5151,490,302,129,0,3,0,"49,173",8214,516,269,119,1,1
Diphtheria,"6,594","3,526","3,067",0,"2,461",847,56,101,59,1,1,0,"2,135",794,37,60,38,1,2
Measles,"159,009","78,127","80,881",0,65851,"12,186",76,9,3,0,2,0,64923,"15,821",114,18,0,1,3
Tetanus,"79,337","43,635","35,702","29,207",312,"1,815","1,823","3,995","2,627","1,971","1,885","24,027",273,"1,590","1,413","2,607","1,773","1,504","2,515"
Meningitis,"328,592","174,605","153,987","24,138","70,493","22,383","12,652","17,723","9,522","8,127","9,568","19,171","60,278","22,694","11,507","13,934","7,496","7,304","11,604"
Encephalitis,"81,116","42,291","38,825",1655,"9,714","4,702","4,188","6,156","3,263","4,229","8,384",2001,"10,128","4,586","2,978","3,940","2,699","3,797","8,697"
Hepatitis,"125,858","68,503","57,355",0,"9,177","5,696","6,871","14,112","11,690","9,831","11,126",0,"8,475","6,599","5,783","8,491","7,007","6,989","14,010"
Acute hepatitis A,"57,378","28,986","28,392",0,"6,306",4527,"3,727","4,917","2,875","2,763","3,871",0,"6,246","4,879","3,802","4,094","2,546","2,167","4,657"
