causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Acute hepatitis B,"38,763","24,257","14,506",0,2269,926,2744,"6,455","4,236","4,071","3,557",0,1592,1252,1470,"2,620","1,919","2,482","3,171"
Acute hepatitis C,"27,571","13,979",13592,0,376,167,245,2460,4426,2816,3489,0,432,367,396,1625,2465,2265,6042
Acute hepatitis E,"2,146","1,280",865,0,225,76,155,280,154,181,209,0,204,101,115,152,77,76,140
Parasitic and vector diseases,"756,620","382,807","373,813",97,"227,732","40,593","26,971","33,369","20,369","19,204","14,471",87,"247,879","31,601","16,364","25,821","16,949","18,043","17,070"
Malaria,"597,870","298,072","299,798",0,217349,"20,715",15106,16559,11169,11336,5838,0,237903,"17,439",9106,11290,8001,9868,6191
African Trypanosomiasis,"6,466","3,242","3,224",0,56,1212,720,762,261,151,79,0,54,1332,685,610,279,169,96
Chagas disease,"7,409","4,168","3,241",0,1,0,28,499,805,"1,040","1,795",0,1,1,20,241,437,731,"1,810"
Schistosomiasis,"14,646","8,153","6,493",0,85,332,596,"2,209",1760,1573,1599,0,81,369,463,1373,1232,1279,1695
co,11110,7451,3659,0,1559,2706,1287,1203,293,224,179,0,840,1491,437,529,153,118,92
Lymphatic filariasis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Onchocerciasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cysticercosis,"10,019","3,895","6,124",0,65,252,909,1511,553,364,240,0,156,554,1140,2060,903,702,609
Echinococcosis,"10,436","4,225","6,211",0,595,604,403,860,552,525,687,0,"1,215",872,455,990,662,705,"1,313"
Dengue,25692,13617,12074,96,2272,1645,2250,2551,1414,1326,2064,86,2187,1899,1384,1925,1073,1111,2408
Trachoma,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Yellow fever,"9,779","6,671","3,108",1,449,"3,309","1,207",893,303,235,274,0,170,"1,572",450,375,153,141,246
Rabies,"63,188","33,310","29,879",0,"5,299",9818,4465,6323,3258,2430,1716,0,5271,6073,2223,6429,4054,3218,2610
Intestinal nematode infections,"3,220","1,700","1,520",0,"1,010",522,38,44,19,27,39,0,821,545,31,33,17,24,49
Ascariasis,3218,1699,1519,0,1010,522,38,44,19,27,39,0,821,545,31,32,17,24,49
Trichuriasis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hookworm disease,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Food-bourne trematodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leprosy,280,196,84,0,0,0,14,37,34,48,63,0,0,0,8,13,14,14,35
Other infectious diseases,"314,040","164,732","149,308","1,651","35,362","21,815","7,950","14,217","12,105","17,558","54,075","1,314","26,126","18,886","4,839","8,322","8,403","13,102","68,313"
Respiratory Infectious ,"2,658,827","1,416,415","1,242,412",108758,"501,577",32300,26467,80731,81336,127073,"458,175",88747,"430,785",34551,22705,48162,46054,85875,"485,533"
Lower respiratory infections,2646273,1409389,1236884,108653,498746,31754,26212,80047,80863,126574,456542,88677,428782,34084,22521,47807,45838,85591,483585
Upper respiratory infections,"11,743","6,532","5,211",54,"2,781",489,221,603,399,438,1547,42,"1,977",426,164,313,182,252,1855
Otitis media,811,494,317,51,50,58,34,81,73,61,86,28,26,41,20,42,33,32,94
Maternal conditions,"266,796",0,"266,796",0,0,0,0,0,0,0,0,0,0,0,127969,138827,0,0,0
Neonatal conditions,"2,549,856","1,399,833","1,150,023","1,298,249","101,434",59,45,28,10,7,1,"1,067,457","82,463",35,28,20,6,4,9
Preterm birth complications,"1,127,497","616,725","510,772",565080,"51,636",3,5,1,0,0,0,467829,"42,939",1,2,1,0,0,0
Birth asphyxia and birth trauma,825948,454568,371381,420370,34126,31,23,11,3,4,0,343357,27987,14,14,7,0,2,0
Neonatal sepsis and infections,426209,233900,192310,233534,297,26,17,16,6,3,1,192016,232,20,13,11,6,2,9
Other neonatal conditions,"170,201","94,640","75,561",79266,15374,0,0,0,0,0,0,64255,11306,0,0,0,0,0,0
Nutritional deficiencies,"286,812","138,345","148,467",0,"58,574",7546,3355,"7,660","7,329","11,021","42,861",0,"51,837","9,574","4,869","8,433","6,616","10,887","56,250"
Protein-energy malnutrition,"227,327","113,625","113,703",0,56566,6695,"2,409","5,759","5,111","7,506","29,579",0,49814,8216,"2,613","5,056","3,878","6,774","37,353"
Iodine deficiency,29,11,18,0,0,0,0,0,1,3,6,0,0,0,0,3,2,2,11
Vitamin A deficiency,11,2,9,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,6
Iron-deficiency anaemia,"16,851","6,791","10,059",0,0,46,164,464,499,791,"4,827",0,0,52,193,475,418,652,"8,269"
Other nutritional deficiencies,"42,594","17,916","24,678",0,2007,806,782,"1,437","1,716","2,720","8,448",0,2024,1306,2063,"2,899","2,316","3,458","10,612"
Noncommunicable diseases,"35,190,624","18,842,878","16,347,746",170276,241129,102249,"336,617","1,893,569","2,669,984","3,875,634","9,553,421",138203,207564,93207,"240,980","1,174,823","1,589,522","2,524,398","10,379,050"
Malignant neoplasms,"7,922,360","4,504,476","3,417,884",320,16487,24191,"70,684","468,927","793,830","1,122,758","2,007,278",278,13817,19133,"62,635","463,035","582,100","725,677","1,551,208"
Mouth and oropharynx cancers,"313,287","226,084","87,203",0,0,431,"3,542","43,214","62,687","60,185","56,024",0,0,327,"2,227","15,171","18,674","20,591","30,214"
Lip and oral cavity,"152,163","103,795","48,368",0,0,136,"1,686","19,593","27,639","26,928","27,812",0,0,131,967,"7,212","9,586","11,362","19,111"
Nasopharynx,"64,470","46,779","17,691",0,0,278,1346,"12,294","13,175","11,054","8,633",0,0,179,814,"4,589","4,162","3,724","4,222"
Other pharynx,"96,654","75,510","21,144",0,0,17,511,"11,328","21,873","22,203","19,578",0,0,16,446,"3,369","4,926","5,505","6,881"
Oesophagus cancer,"432,943","313,683","119,260",0,0,2,601,"30,675","68,364","92,389","121,654",0,0,12,581,"8,667","17,643","29,509","62,847"
Stomach cancer,"829,226","538,498","290,727",0,0,38,3129,"55,672","98,422","142,900","238,338",0,0,45,3364,"32,556","41,296","60,786","152,680"
Colon and rectum cancers,"753,888","412,165","341,723",0,0,180,"3,319","39,398","63,449","98,007","207,812",0,0,191,"2,476","27,590","44,040","64,621","202,806"
Liver cancer,"479,340","326,873","152,467",31,786,624,3737,"59,518","76,320","79,705","106,151",41,875,462,1704,"16,063","24,782","34,025","74,515"
Liver cancer secondary to hepatitis B,"187,667","150,748","36,920",0,0,163,2846,"41,996","40,978","33,551","31,214",0,0,60,853,"7,506","8,308","8,721","11,472"
Liver cancer secondary to hepatitis C,"143,633","76,627","67,006",0,0,2,96,"5,333","14,149","19,788","37,260",0,0,2,80,"3,382","8,576","14,332","40,633"
Liver cancer secondary to alcohol use,"90,951","71,472","19,479",0,0,0,192,7731,"15,355","20,255","27,939",0,0,0,59,"1,710","3,285","5,101","9,324"
Other liver cancer,"57,088",28026,"29,062",31,786,459,602,4459,5839,6112,9739,41,875,399,712,"3,464","4,613","5,871","13,087"
Pancreas cancer,"336,237",180206,"156,031",0,0,11,529,15590,32826,49626,81623,0,0,5,323,"7,839","19,155","34,516","94,193"
"Trachea, bronchus, lung cancers","1,504,670",1051616,"453,054",0,0,222,2841,67958,188434,299480,492681,0,0,134,"1,631","32,842","70,776","110,140","237,531"
Melanoma and other skin cancers,"105,465","59,753",45713,1,25,61,862,"7,179","9,731","13,423","28,472",0,16,91,712,5393,6764,8432,24305
Malignant skin melanoma,"55,418","31,328",24090,1,25,35,563,"4,589",5645,7215,"13,256",0,16,39,470,3444,3907,4717,11498
Non-melanoma skin cancer,"50,047","28,425","21,622",0,0,26,299,"2,590","4,087","6,208","15,216",0,0,52,242,"1,949","2,857","3,715","12,807"
Breast cancer,"527,170","5,928","521,242",0,0,1,52,682,"1,236","1,639","2,318",0,0,17,5437,"112,980","118,136","108,362","176,310"
Cervix uteri cancer,"263,707",0,"263,707",0,0,0,0,0,0,0,0,0,0,32,"5,092","76,306","68,954","55,754","57,570"
Corpus uteri cancer,"76,488",0,"76,488",0,0,0,0,0,0,0,0,0,0,18,344,"7,040","13,199","20,056","35,832"
Ovary cancer,"142,331",0,"142,331",0,0,0,0,0,0,0,0,0,0,320,2282,"21,648","31,627","34,258","52,197"
Prostate cancer,"316,562","316,562",0,0,0,2,279,"2,381","13,196","52,306","248,397",0,0,0,0,0,0,0,0
Testicular cancer,"8,380","8,380",0,2,112,102,2382,"3,239",841,631,"1,072",0,0,0,0,0,0,0,0
Kidney cancer,"126,895","80,795","46,100",12,652,466,656,"7,677","15,000","19,862","36,469",10,626,470,618,"3,355","5,550","9,097","26,373"
Bladder cancer,"165,909","122,547","43,362",0,0,43,241,"4,519","12,403","25,575","79,765",0,0,10,149,"2,066","3,834","6,844","30,459"
Brain and nervous system cancers,"204,024","114,534","89,490",87,3756,"4,778","6,982","24,349","23,077","24,209","27,297",46,2747,3860,"5,112","15,877","16,080","18,302","27,465"
Gallbladder and biliary tract cancer,"135,735","56,680","79,055",0,0,2,160,"4,272","8,740","13,847","29,658",0,0,10,251,"5,350","11,115","17,587","44,743"
Larynx cancer,"98,533","84,735","13,798",0,0,10,228,"8,629","21,547","25,622","28,699",0,0,2,187,"1,559","2,801","3,684","5,565"
Thyroid cancer,"34,091","12,849","21,242",0,0,62,301,"1,457","2,318","2,886","5,825",0,0,107,648,"1,967","2,618","4,391","11,511"
Mesothelioma,"23,074","16,725","6,349",0,0,5,109,1040,2220,4130,9222,0,0,0,84,622,943,1412,3288
"Lymphomas, multiple myeloma","313,702","179,305","134,397",0,776,"2,317","9,126","26,273",29812,39248,71752,0,468,"1,138","5,658","14,524",16730,26300,69578
Hodgkin lymphoma,"24,202","14,847","9,355",0,36,526,"2,357","3,958","2,416","2,368","3,186",0,28,191,"1,554","2,188","1,150","1,348","2,896"
Non-Hodgkin lymphoma,"204,085","119,524","84,560",0,740,"1,779","6,528","19,167","20,399","25,385","45,526",0,440,926,"3,957","10,237","10,336","15,577","43,088"
Multiple myeloma,85415,44934,40481,0,0,12,241,3148,6997,11495,23041,0,0,22,146,2099,5244,9375,23595
Leukaemia,280600,156559,124041,97,6501,9432,16288,25466,19668,26205,52902,82,5902,7197,11665,19758,14975,18529,45934
Other malignant neoplasms,450102,239999,210103,90,3880,5401,15320,39739,43539,50882,81147,100,3183,4686,12090,33862,32409,38482,85292
Other neoplasms,100891,51943,48948,6,149,445,902,3220,4729,8715,33777,4,131,396,666,2825,3489,5892,35546
Diabetes mellitus,"1,137,657","544,601","593,056",25,1643,1242,6340,49902,91051,139090,255307,11,1432,1663,6576,39056,75433,134494,"334,392"
"Endocrine, blood, immune disorders","259,785","122,273","137,513",614,17994,10637,"9,878","15,658","12,512","15,068","39,911",493,16516,10148,"9,691","15,470","11,024","13,952","60,218"
Thalassaemias,"11,551","5,761","5,789",131,2518,1192,885,710,259,62,4,97,2216,1108,"1,128",822,325,87,6
Sickle cell disorders and trait,"42,311","20,498","21,813",54,7504,6587,"3,873","2,106",321,47,6,44,8131,6742,"3,835","2,564",393,86,19
Other haemoglobinopathies and haemolytic anaemias,"43,240","21,139","22,102",11,353,797,1927,"2,596","2,446",3702,9308,7,176,490,1459,2544,2173,3146,12107
"Other endocrine, blood and immune disorders","162,683","74,874",87809,417,7619,2061,3193,"10,246",9487,11257,30594,345,5992,1808,3269,9540,8134,10633,48087
Mental and substance use disorders,275038,213182,61856,0,10,96,26665,90476,47317,27166,21451,0,0,30,7084,20571,12781,8591,12800
Depressive disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major depressive disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysthymia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bipolar disorder,624,245,379,0,0,0,8,34,36,48,119,0,0,0,4,28,41,61,244
Schizophrenia,3784,1828,1956,0,0,2,64,375,354,375,657,0,0,1,14,177,255,289,1219
Alcohol use disorders,152070,129543,22527,0,0,4,7608,54557,35915,20111,11348,0,0,1,1136,7780,6541,3902,3167
Drug use disorders,116927,80688,36239,0,10,70,18902,35306,10842,6457,9100,0,0,6,5848,12402,5834,4224,7924
Opioid use disorders,"71,283",51222,20061,0,10,70,13476,22626,6199,3958,4882,0,0,6,3638,7115,3239,2375,3688
Cocaine use disorders,5670,4426,1244,0,0,0,654,2131,1028,426,188,0,0,0,171,649,260,108,55
Amphetamine use disorders,"3,746","2,759",987,0,0,0,588,"1,395",492,213,71,0,0,0,287,433,145,86,36
Cannabis use disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other drug use disorders,"36,227","22,281","13,947",0,0,0,"4,184","9,154","3,123","1,860","3,959",0,0,0,"1,753","4,204","2,190","1,655","4,145"
Anxiety disorders,66,47,19,0,0,0,4,8,3,12,20,0,0,0,0,1,3,2,12
Eating disorders,81,20,61,0,0,0,7,13,0,0,0,0,0,2,25,34,0,0,0
Autism and Asperger syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Childhood behavioural disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attention deficit/hyperactivity syndrome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conduct disorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idiopathic intellectual disability,"1,482",810,673,0,0,19,73,183,166,163,206,0,0,20,55,150,106,112,230
Other mental and behavioural disorders,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Neurological conditions,"1,499,697","615,904","883,793",5,10675,8736,"20,307","32,853","31,106","59,877","452,346",5,8556,7366,"12,950","22,315","25,712","54,645","752,244"
Alzheimer disease and other dementias,"1,004,009","342,321","661,687",0,0,93,165,"1,954","8,293","26,214","305,602",0,0,83,100,"1,669","8,796","29,838","621,203"
Parkinson disease,"227,642","127,550","100,092",0,0,2,30,"1,237","3,656","12,883","109,743",0,0,1,19,668,"2,323","8,112","88,970"
Epilepsy,"109,962","63,004","46,957",0,"7,243","5,307","13,179","17,786","6,608","5,496","7,386",0,"6,178","4,299","9,232","10,294","4,328","3,938","8,690"
Multiple sclerosis,"19,230","7,731","11,498",0,0,22,175,"2,087","2,053","1,818","1,576",0,0,90,319,"2,716","2,916","2,616","2,841"
Migraine,20,9,11,0,0,0,0,3,4,1,1,0,0,0,0,5,0,0,6
Non-migraine headache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other neurological conditions,"138,835","75,289","63,547",5,3432,3313,"6,758","9,786","10,492","13,465","28,039",5,2379,"2,894","3,280","6,963","7,350","10,142","30,535"
Sense organ diseases,421,201,219,0,0,3,9,22,27,24,117,0,0,4,9,12,15,17,163
Cardiovascular diseases,"15,887,913","8,224,345","7,663,568",717,17884,12672,"95,000","744,085","1,137,196","1,679,683","4,537,108",564,16588,12262,"59,831","363,387","574,257","1,065,650","5,571,029"
Rheumatic heart disease,"301,885","133,698","168,188",0,1393,2663,"11,452","25,060","20,975","25,545","46,610",0,1883,3194,"10,614","29,908","25,422","29,242","67,923"
Hypertensive heart disease,"871,931","373,638","498,293",0,0,23,"2,094","25,457","44,595","72,083","229,385",0,0,22,2094,"20,413","38,035","70,514","367,215"
Ischaemic heart disease,"7,783,334","4,214,389","3,568,945",0,0,74,"38,361","404,495","634,793","872,734","2,263,933",0,0,56,"19,921","148,002","247,333","478,682","2,674,950"
Stroke,"5,755,699","2,904,767","2,850,932",299,6756,"5,278","26,547","211,099","355,969","610,903","1,687,915",225,5223,"4,306","16,652","128,366","224,271","428,226","2,043,663"
Ischaemic stroke,"2,694,182","1,259,060","1,435,122",46,861,431,2960,"28,506","76,396","214,718","935,140",47,799,378,2456,"17,489","40,621","133,809","1,239,523"
Haemorrhagic stroke,"3,061,517","1,645,707","1,415,810",253,"5,895","4,847","23,587","182,593","279,573","396,185","752,774",178,"4,423","3,928","14,196","110,877","183,651","294,418","804,140"
"Cardiomyopathy, myocarditis, endocarditis","351,145","209,887","141,258",206,5661,1869,9765,"48,369","41,806","33,919","68,291",158,4933,1794,4659,"17,464","15,896","16,300","80,055"
Other circulatory diseases,"823,918","387,965","435,952",211,4074,2763,6781,"29,605","39,058","64,499","240,973",181,4549,2890,5891,"19,233","23,299","42,685","337,224"
Respiratory diseases,"3,716,855","2,109,026","1,607,829",0,6642,4510,"14,639","79,507","171,954","406,073","1,425,699",0,7348,4953,"11,451","54,115","101,130","241,273","1,187,559"
Chronic obstructive pulmonary disease,"2,904,613","1,692,750","1,211,863",0,746,485,"4,437","40,035","119,112","324,574","1,203,360",0,"1,133",495,"3,054","21,513","59,995","176,910","948,763"
Asthma,"448,118","214,831","233,287",0,"4,706","3,004","6,413","23,499","30,860","49,597","96,752",0,"4,991","3,030","6,363","24,720","29,894","46,498","117,790"
Other respiratory diseases,"364,124","201,445","162,679",0,1190,1021,3789,"15,973",21982,31902,"125,587",0,1224,1427,2034,7882,11242,17865,"121,006"
Digestive diseases,"2,269,466","1,364,074","905,392",646,22827,15065,"54,169","312,294","278,540","273,243","407,289",480,19394,12955,"36,197","113,548","120,934","156,863","445,021"
Peptic ulcer disease,"226,640","126,461","100,180",0,574,941,"4,528","20,394","21,704","25,815","52,504",0,892,"1,467","3,475","9,496","10,910","17,679","56,261"
Cirrhosis of the liver,"1,236,555","822,959",413596,0,5346,7311,33326,229563,199743,176585,"171,085",0,5826,5542,20337,74823,76815,87357,142897
Cirrhosis due to hepatitis B,"339,965","244,869","95,096",0,61,374,8711,81433,59206,"48,378","46,707",0,26,112,2900,21284,19272,19905,"31,598"
Cirrhosis due to hepatitis C,"311,673","212,417","99,256",0,55,261,"7,221","63,843","52,248","43,759","45,030",0,29,113,"3,501","21,338","19,528","20,940","33,807"
Cirrhosis due to alcohol use,291457,216623,74833,0,0,0,2501,54107,62030,56084,41901,0,0,0,641,12914,18536,20084,22658
Other liver cirrhosis,"293,460",149049,"144,411",0,5230,6676,14893,30180,26260,28364,37447,0,5770,5318,13295,"19,287","19,478","26,428","54,835"
Appendicitis,"33,573","16,641","16,932",0,866,1634,2335,3277,2015,"2,288","4,225",0,910,1456,3301,"2,754","1,932","2,235","4,343"
Gastritis and duodenitis,"34,376","19,919","14,456",0,395,101,657,3281,3286,3675,"8,524",0,73,182,355,1363,1282,2302,"8,898"
Paralytic ileus and intestinal obstruction,186768,98214,88554,477,11378,3065,4921,13493,10913,15982,37985,384,8778,2084,4168,6935,7810,11595,46800
Inflammatory bowel disease,"27,260","12,787","14,473",0,446,143,437,1741,1635,2182,"6,204",0,566,172,517,1310,1197,1689,"9,023"
Gallbladder and biliary diseases,"93,615","38,656","54,959",0,176,349,624,"2,915","3,705","6,237","24,649",0,479,798,763,"3,292","4,034","7,281","38,312"
Pancreatitis,"101,360","64,257","37,103",0,76,145,4488,21080,13067,10214,15189,0,158,250,1407,5582,5266,6277,18162
Other digestive diseases,"329,319","164,180","165,138",169,3570,1377,2852,16551,22471,30267,86924,95,1713,1004,1873,7993,11688,20448,120325
Genitourinary diseases,"1,294,174","673,644","620,530",110,"9,618",7268,24071,80549,91164,129387,331477,73,"9,571",6646,19177,61264,69931,99606,354263
Kidney diseases,"1,070,774","560,844","509,930",0,"6,274","6,018","20,164","69,243","79,373",110850,268922,0,"6,430","5,062","14,958","51,323","59,590",84862,287704
Acute glomerulonephritis,"10,451","5,628","4,823",0,204,228,380,1067,739,982,2027,0,242,335,329,753,518,731,1916
Chronic kidney disease due to diabetes,"357,741","186,483","171,259",0,39,97,"2,538","24,088",33573,44559,81589,0,44,94,"2,243","17,848",25227,35140,90662
Other chronic kidney disease,"702,582","368,734","333,848",0,"6,030","5,693","17,245","44,087","45,062","65,308","185,307",0,"6,144","4,633","12,386","32,722","33,845","48,991","195,127"
Benign prostatic hyperplasia,"4,869","4,869",0,0,0,0,0,15,75,395,"4,384",0,0,0,0,0,0,0,0
Urolithiasis,"7,815","4,612","3,203",0,14,28,63,453,644,"1,057","2,352",0,16,26,56,422,409,608,"1,666"
Other urinary diseases,"203,775","103,319","100,457",110,"3,330","1,221","3,844","10,839","11,071","17,085","55,819",73,"3,125","1,456","3,451","7,655","8,675","12,989","63,033"
Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynecological diseases,"6,941",0,"6,941",0,0,0,0,0,0,0,0,0,0,102,713,"1,864","1,257","1,146","1,859"
Skin diseases,"71,424","31,167","40,257",0,"1,839",406,"1,015","3,552","3,541","4,983","15,830",0,"3,252",497,867,"2,500","3,347","4,644","25,149"
Musculoskeletal diseases,"118,772","40,384","78,388",0,0,398,"1,294","3,602","3,862","7,286","23,942",0,0,753,"4,316","8,914","6,486","10,887","47,033"
Rheumatoid arthritis,"34,314","10,894","23,421",0,0,35,88,537,986,"2,411","6,836",0,0,48,146,"1,030","1,943","4,635","15,619"
Osteoarthritis,"4,268","1,278","2,990",0,0,0,3,23,42,110,"1,101",0,0,0,1,20,25,136,"2,809"
Gout,595,453,143,0,0,0,1,55,74,78,244,0,0,0,1,2,7,10,123
Back and neck pain,3300,1737,1563,0,0,1,7,59,128,320,1223,0,0,0,4,27,72,167,1293
Other musculoskeletal disorders,76294,26023,50271,0,0,362,1195,2928,2633,4367,14538,0,0,705,4164,7834,4439,5939,27190
Congenital anomalies,598881,326933,271948,167420,115503,16578,11624,8861,3099,2194,1652,135954,95300,16398,9511,7759,2841,2149,2037
Neural tube defects,87527,41025,46502,25456,13458,1294,381,300,77,52,8,27981,15884,1753,440,292,84,59,9
Cleft lip and cleft palate,3911,2001,1910,1362,635,0,1,0,0,0,3,1400,504,1,1,0,1,0,2
Down syndrome,19857,9806,10051,2582,3843,566,544,887,829,518,38,2688,3822,598,525,962,844,544,68
Congenital heart anomalies,249927,139797,110130,60558,54701,8804,7537,5288,1390,890,629,45260,42493,8598,6123,4585,1232,862,977
Other chromosomal anomalies,19345,9784,9560,5209,3110,367,381,330,114,80,195,5051,3234,441,274,209,73,70,208
Other congenital anomalies,218314,124518,93796,72254,39756,5548,2780,2058,690,654,779,53574,29363,5006,2148,1712,607,614,772
Oral conditions,1020,457,563,0,0,1,19,58,54,88,237,0,0,4,19,50,42,60,388
Sudden infant death syndrome,36271,20270,16001,413,19857,0,0,0,0,0,0,341,15659,0,0,0,0,0,0
Injuries,4608571,3170796,1437775,20472,173657,179009,772463,957304,392139,282651,393100,16642,154697,110225,238917,272581,136772,139494,368447
Unintentional injuries,3327309,2240081,1087227,20168,165551,160740,474050,619631,274591,209678,315673,16056,146033,97743,132079,169906,96428,107942,321040
Road injury,1258626,945908,312718,1354,30364,58838,261891,312814,121622,82414,76612,858,24813,34849,58978,74521,39386,34708,44606
Poisonings,95046,59778,35268,991,10340,4031,8548,15143,8220,6003,6502,453,9134,2871,4684,6259,3308,2979,5579
Falls,545408,312620,232788,1614,10160,9490,24925,61758,41015,43475,120182,1639,9038,4509,6004,12616,13494,28036,157452
"Fire, heat and hot substances",119947,64220,55727,738,12511,3976,7554,14858,8149,6450,9985,553,12320,4121,9187,9988,4202,4317,11038
Drowning,285271,194483,90788,776,38515,33461,39276,39535,15952,11763,15205,573,32705,15444,8502,9525,5250,5610,13180
Exposure to mechanical forces,132716,100799,31917,2773,6968,5124,21553,36028,13746,7592,7015,2192,6287,2913,3868,6191,2880,2801,4786
Natural disasters,229943,140569,89374,588,11571,20912,46965,33615,11517,7903,7498,450,11337,16332,21175,17998,7447,6698,7937
Other unintentional injuries,660351,421704,238647,11334,45121,24909,63339,105881,54371,44077,72672,9339,40399,16704,19680,32807,20462,22794,76462
Intentional injuries,1281262,930715,350548,304,8106,18269,298413,337673,117547,72974,77427,586,8665,12482,106838,102675,40344,31552,47406
Self-harm,748429,508893,239536,0,0,6324,119762,184800,79651,53367,64990,0,0,3991,71150,70003,30323,24515,39554
Interpersonal violence,473571,379438,94133,0,5629,8743,158500,140956,35787,18400,11423,0,5314,5348,31359,29757,9022,6241,7093
Collective violence and legal intervention,59262,42384,16879,304,2477,3201,20152,11918,2110,1207,1014,586,3351,3143,4330,2915,999,795,760
